dataset,target_horizon,reference,status,clean_mse,reference_mse,relative_mse_pct,clean_mae,reference_mae,relative_mae_pct,clean_wins_mse
ETTh2,96,official_unified_timealign,ok,0.24416223168373108,0.24910904467105865,-1.9858022392802765,0.31473836302757263,0.31970900297164917,-1.554738808690137,True
ETTh2,192,official_unified_timealign,ok,0.2861934006214142,0.2959613502025604,-3.3004139136616706,0.3473576307296753,0.35337868332862854,-1.7038528023926913,True
ETTh2,336,official_unified_timealign,ok,0.31436556577682495,0.3267449736595154,-3.7887064471236243,0.37210166454315186,0.3787094056606293,-1.7448051246445107,True
ETTh2,720,official_unified_timealign,ok,0.3950280547142029,0.40325209498405457,-2.0394290252049085,0.4309396743774414,0.43513625860214233,-0.9644299094224595,True
ETTm1,96,official_unified_timealign,ok,0.27276551723480225,0.28118184208869934,-2.993196428111511,0.33084431290626526,0.336627721786499,-1.718042961388011,True
ETTm1,192,official_unified_timealign,ok,0.3091461658477783,0.3133629560470581,-1.3456568869763097,0.35286661982536316,0.3556881844997406,-0.7932691602747011,True
ETTm1,336,official_unified_timealign,ok,0.34693026542663574,0.3499610722064972,-0.8660411173026406,0.3737157881259918,0.3757186233997345,-0.5330678728724614,True
ETTm1,720,official_unified_timealign,ok,0.40836983919143677,0.4067089557647705,0.40837149099486325,0.4053221046924591,0.4056112468242645,-0.07128553117529135,False
Weather,96,official_unified_timealign,ok,0.14136819541454315,0.14317019283771515,-1.258640075462203,0.18159954249858856,0.18443308770656586,-1.536354047537003,True
Weather,192,official_unified_timealign,ok,0.18240033090114594,0.18486426770687103,-1.332835618418171,0.22314205765724182,0.22576011717319489,-1.1596643148198638,True
Weather,336,official_unified_timealign,ok,0.2316502183675766,0.23452013731002808,-1.223740944112417,0.26356613636016846,0.266031950712204,-0.9268865433021078,True
Weather,720,official_unified_timealign,ok,0.3030458390712738,0.3067764937877655,-1.216082324440626,0.3143439292907715,0.31663402915000916,-0.7232639730433754,True
