dataset,horizon,n,mse_mean,mse_std,mse_cv,mae_mean,mae_std,mae_cv,epochs_mean
ETTh2,96,3,0.3058699866135915,0.0016160060958300795,0.005283310447427441,0.3613298038641612,0.004329108499228526,0.011981044610579692,12.666666666666666
ETTh2,720,3,0.4069126745065053,0.003916713771783082,0.009625440585091596,0.4440587063630422,0.003504403426211492,0.007891757049227746,11.666666666666666
ETTm1,96,3,0.2925926248232524,0.003233815381633709,0.011052279200773339,0.3452338973681132,0.0022574721415595626,0.0065389643333675414,15
ETTm1,720,3,0.41532949606577557,0.0026190443172211396,0.006305943454606852,0.42168455322583515,0.0015907117625725403,0.0037722789473880187,11.333333333333334
Weather,96,3,0.14944148560365042,0.003282105456426183,0.021962478780029007,0.19765266279379526,0.0038573630460882117,0.019515866832072362,15.666666666666666
Weather,720,3,0.32955565055211383,0.008126605387955338,0.024659280987416262,0.3396550516287486,0.00447637080531223,0.013179167463715552,15
