model,dataset,horizon,mse,mae,epochs,device,status
DLinear,ETTh2,96,0.2895495295524597,0.3550023138523102,28,cuda,complete
DLinear,ETTh2,192,0.3722722828388214,0.4106195867061615,40,cuda,complete
DLinear,ETTh2,336,0.4650777578353882,0.47149360179901123,25,cuda,complete
DLinear,ETTh2,720,0.7173856496810913,0.6028023362159729,28,cuda,complete
DLinear,ETTm1,96,0.30031493306159973,0.34451234340667725,29,cuda,complete
DLinear,ETTm1,192,0.33544641733169556,0.3661356568336487,22,cuda,complete
DLinear,ETTm1,336,0.3699602484703064,0.3872639834880829,22,cuda,complete
DLinear,ETTm1,720,0.4272552728652954,0.42419448494911194,28,cuda,complete
DLinear,Weather,96,0.1746838241815567,0.2363893985748291,18,cuda,complete
DLinear,Weather,192,0.21686787903308868,0.2774003744125366,16,cuda,complete
DLinear,Weather,336,0.26392948627471924,0.31642162799835205,22,cuda,complete
DLinear,Weather,720,0.32623136043548584,0.3668229579925537,17,cuda,complete
PatchEncoderFixedHead,ETTh2,96,0.3074484169483185,0.36609065532684326,13,cuda,complete
PatchEncoderFixedHead,ETTh2,192,0.37734004855155945,0.4069473147392273,12,cuda,complete
PatchEncoderFixedHead,ETTh2,336,0.3841150403022766,0.4212876260280609,13,cuda,complete
PatchEncoderFixedHead,ETTh2,720,0.4074031412601471,0.4438471794128418,11,cuda,complete
PatchEncoderFixedHead,ETTm1,96,0.29047533869743347,0.3442326486110687,14,cuda,complete
PatchEncoderFixedHead,ETTm1,192,0.3377011716365814,0.3733891248703003,14,cuda,complete
PatchEncoderFixedHead,ETTm1,336,0.361540287733078,0.3907651901245117,11,cuda,complete
PatchEncoderFixedHead,ETTm1,720,0.412788063287735,0.42070141434669495,11,cuda,complete
PatchEncoderFixedHead,Weather,96,0.14708691835403442,0.1950538456439972,16,cuda,complete
PatchEncoderFixedHead,Weather,192,0.19520847499370575,0.24188493192195892,15,cuda,complete
PatchEncoderFixedHead,Weather,336,0.25078684091567993,0.28711846470832825,16,cuda,complete
PatchEncoderFixedHead,Weather,720,0.32312721014022827,0.33546921610832214,12,cuda,complete
SegTSFTDenseFixedHead,ETTh2,96,0.3059096932411194,0.3589080274105072,13,cuda,complete
SegTSFTDenseFixedHead,ETTh2,192,0.3706377446651459,0.3998716473579407,12,cuda,complete
SegTSFTDenseFixedHead,ETTh2,336,0.3915955722332001,0.4287272095680237,13,cuda,complete
SegTSFTDenseFixedHead,ETTh2,720,0.41573160886764526,0.44651222229003906,12,cuda,complete
SegTSFTDenseFixedHead,ETTm1,96,0.2924179136753082,0.34309035539627075,15,cuda,complete
SegTSFTDenseFixedHead,ETTm1,192,0.3370535671710968,0.37613236904144287,16,cuda,complete
SegTSFTDenseFixedHead,ETTm1,336,0.36676520109176636,0.39204010367393494,12,cuda,complete
SegTSFTDenseFixedHead,ETTm1,720,0.41479867696762085,0.42296794056892395,12,cuda,complete
SegTSFTDenseFixedHead,Weather,96,0.1514870673418045,0.20318272709846497,15,cuda,complete
SegTSFTDenseFixedHead,Weather,192,0.19618554413318634,0.2455838918685913,15,cuda,complete
SegTSFTDenseFixedHead,Weather,336,0.24911540746688843,0.28586724400520325,15,cuda,complete
SegTSFTDenseFixedHead,Weather,720,,,,,oom_missing
