dataset,trial_id,profile_id,seed,horizon,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,validation_complete,test_complete
ETTm2,ETTm2__h4l_seq96_patch12,h4l_seq96_patch12,2021,720,0.2814083972919939,0.3583058103919029,,,2bd1679ca4e10c2ebad67e4a9e8725cb4887893d79694e21e56891709dc7bea5,True,False
ETTm2,ETTm2__h4l_seq192_patch12,h4l_seq192_patch12,2021,96,0.1143042686356542,0.22971511950405935,,,b5fcbfe4aaed19c1d666ad44f1aa6ba679224552a022ec744b0c60b8cc395197,True,False
ETTm2,ETTm2__h4l_seq192_patch12,h4l_seq192_patch12,2021,192,0.1531636938743759,0.2662446452692772,,,b5fcbfe4aaed19c1d666ad44f1aa6ba679224552a022ec744b0c60b8cc395197,True,False
ETTm2,ETTm2__h4l_seq192_patch12,h4l_seq192_patch12,2021,336,0.19981271384971305,0.30228331838069217,,,b5fcbfe4aaed19c1d666ad44f1aa6ba679224552a022ec744b0c60b8cc395197,True,False
ETTm2,ETTm2__h4l_seq192_patch12,h4l_seq192_patch12,2021,720,0.27592409030379106,0.35189256756049064,,,b5fcbfe4aaed19c1d666ad44f1aa6ba679224552a022ec744b0c60b8cc395197,True,False
ETTm2,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,2021,96,0.11189171330382426,0.22838776651769876,,,b5f8fbab423621ec4d5e8e220a451f9535d27a2eccc26bff21b9d432c00141c6,True,False
ETTm2,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,2021,192,0.15058880322612822,0.2647408240785201,,,b5f8fbab423621ec4d5e8e220a451f9535d27a2eccc26bff21b9d432c00141c6,True,False
ETTm2,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,2021,336,0.19608996391651176,0.30019856120149296,,,b5f8fbab423621ec4d5e8e220a451f9535d27a2eccc26bff21b9d432c00141c6,True,False
ETTm2,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,2021,720,0.2771775341282288,0.3516711173372136,,,b5f8fbab423621ec4d5e8e220a451f9535d27a2eccc26bff21b9d432c00141c6,True,False
ETTm2,ETTm2__h4l_d32_ff64_r32,h4l_d32_ff64_r32,2021,96,0.11231200757902116,0.22800394031219184,,,42fd2ced2552b919bf95714bea1a843c35b9f5cee42c16a7f707651ecedfbe8f,True,False
