dataset,candidate_arm,segment,mse_improvement_pct
ETTh1,geo_c256_e2e,H1-48,-84.86965979135246
ETTh1,geo_c256_e2e,H49-96,-61.82597392627356
ETTh1,geo_c256_e2e,H97-192,-46.83322068920332
ETTh1,geo_c256_e2e,H193-336,-33.2472271904384
ETTh1,geo_c256_e2e,H337-720,-30.062419362789573
ETTh1,perm_c256_e2e,H1-48,-144.93238891160675
ETTh1,perm_c256_e2e,H49-96,-91.20999494024585
ETTh1,perm_c256_e2e,H97-192,-60.78921335779837
ETTh1,perm_c256_e2e,H193-336,-40.821225492369194
ETTh1,perm_c256_e2e,H337-720,-34.39731608041892
ETTh1,random_c256_e2e,H1-48,-136.57771882603123
ETTh1,random_c256_e2e,H49-96,-89.74530434231794
ETTh1,random_c256_e2e,H97-192,-58.93317209257734
ETTh1,random_c256_e2e,H193-336,-39.14059983722824
ETTh1,random_c256_e2e,H337-720,-33.53139838612014
ETTh1,geo_m694_e2e,H1-48,-81.59549649182325
ETTh1,geo_m694_e2e,H49-96,-58.466574031158714
ETTh1,geo_m694_e2e,H97-192,-44.6824907535816
ETTh1,geo_m694_e2e,H193-336,-32.12857057093841
ETTh1,geo_m694_e2e,H337-720,-29.484862334102722
ETTh1,perm_m694_e2e,H1-48,-145.25656208983025
ETTh1,perm_m694_e2e,H49-96,-90.8499041559806
ETTh1,perm_m694_e2e,H97-192,-60.536468624213846
ETTh1,perm_m694_e2e,H193-336,-40.773446714332096
ETTh1,perm_m694_e2e,H337-720,-34.331234003603186
ETTh1,random_m694_e2e,H1-48,-138.03968510007806
ETTh1,random_m694_e2e,H49-96,-89.97700866649593
ETTh1,random_m694_e2e,H97-192,-58.897351657991635
ETTh1,random_m694_e2e,H193-336,-38.934058820138404
ETTh1,random_m694_e2e,H337-720,-33.3465526964368
ETTh2,geo_c256_e2e,H1-48,-1.9634508644897908
ETTh2,geo_c256_e2e,H49-96,-8.923891781685246
ETTh2,geo_c256_e2e,H97-192,-23.47415104652
ETTh2,geo_c256_e2e,H193-336,-26.256528066380348
ETTh2,geo_c256_e2e,H337-720,-21.480434943980065
ETTh2,perm_c256_e2e,H1-48,-138.41069436577106
ETTh2,perm_c256_e2e,H49-96,-87.71050626977512
ETTh2,perm_c256_e2e,H97-192,-62.09423573244914
ETTh2,perm_c256_e2e,H193-336,-45.998003541065046
ETTh2,perm_c256_e2e,H337-720,-30.142598339656313
ETTh2,random_c256_e2e,H1-48,-141.77192432769817
ETTh2,random_c256_e2e,H49-96,-88.43253024762114
ETTh2,random_c256_e2e,H97-192,-62.239366531237984
ETTh2,random_c256_e2e,H193-336,-45.53677617505281
ETTh2,random_c256_e2e,H337-720,-30.078509419236777
ETTh2,geo_m694_e2e,H1-48,0.37881471423035773
ETTh2,geo_m694_e2e,H49-96,-5.903197507392566
ETTh2,geo_m694_e2e,H97-192,-22.017253889163534
ETTh2,geo_m694_e2e,H193-336,-25.43926675435395
ETTh2,geo_m694_e2e,H337-720,-21.06727305019327
ETTh2,perm_m694_e2e,H1-48,-138.07396399832754
ETTh2,perm_m694_e2e,H49-96,-87.55074107846474
ETTh2,perm_m694_e2e,H97-192,-61.88815008084245
ETTh2,perm_m694_e2e,H193-336,-45.86451618375848
ETTh2,perm_m694_e2e,H337-720,-30.113326229550076
ETTh2,random_m694_e2e,H1-48,-140.62699233403336
ETTh2,random_m694_e2e,H49-96,-87.68324821815725
ETTh2,random_m694_e2e,H97-192,-61.75398661069729
ETTh2,random_m694_e2e,H193-336,-45.34530069692533
ETTh2,random_m694_e2e,H337-720,-29.992035372988003
ETTm1,geo_c256_e2e,H1-48,-109.8875799878599
ETTm1,geo_c256_e2e,H49-96,-53.23050941826884
ETTm1,geo_c256_e2e,H97-192,-54.10082590001968
ETTm1,geo_c256_e2e,H193-336,-51.23335821692301
ETTm1,geo_c256_e2e,H337-720,-40.87141041046696
ETTm1,perm_c256_e2e,H1-48,-308.32874512608834
ETTm1,perm_c256_e2e,H49-96,-173.06525461341886
ETTm1,perm_c256_e2e,H97-192,-132.07116876789425
ETTm1,perm_c256_e2e,H193-336,-95.81896609781613
ETTm1,perm_c256_e2e,H337-720,-62.16144090713438
ETTm1,random_c256_e2e,H1-48,-243.6495639529328
ETTm1,random_c256_e2e,H49-96,-142.98879675620003
ETTm1,random_c256_e2e,H97-192,-111.34964623556303
ETTm1,random_c256_e2e,H193-336,-82.01059412580605
ETTm1,random_c256_e2e,H337-720,-53.84739716324491
ETTm1,geo_m694_e2e,H1-48,-108.86673545465308
ETTm1,geo_m694_e2e,H49-96,-51.5410414152605
ETTm1,geo_m694_e2e,H97-192,-51.35135532237953
ETTm1,geo_m694_e2e,H193-336,-49.26955343314017
ETTm1,geo_m694_e2e,H337-720,-39.76920824504222
ETTm1,perm_m694_e2e,H1-48,-302.2795568905506
ETTm1,perm_m694_e2e,H49-96,-171.6379656908166
ETTm1,perm_m694_e2e,H97-192,-131.45095470767467
ETTm1,perm_m694_e2e,H193-336,-95.54588729906659
ETTm1,perm_m694_e2e,H337-720,-62.099049161215845
ETTm1,random_m694_e2e,H1-48,-238.85145900739963
ETTm1,random_m694_e2e,H49-96,-141.6575210711052
ETTm1,random_m694_e2e,H97-192,-110.31195314288809
ETTm1,random_m694_e2e,H193-336,-81.69849721012497
ETTm1,random_m694_e2e,H337-720,-53.52693203293099
ETTm2,geo_c256_e2e,H1-48,-27.398035678883637
ETTm2,geo_c256_e2e,H49-96,-20.355653644772744
ETTm2,geo_c256_e2e,H97-192,-22.58656681271023
ETTm2,geo_c256_e2e,H193-336,-18.798331220107567
ETTm2,geo_c256_e2e,H337-720,-11.085093270907475
ETTm2,perm_c256_e2e,H1-48,-194.20592894901364
ETTm2,perm_c256_e2e,H49-96,-122.662905877716
ETTm2,perm_c256_e2e,H97-192,-83.07775501882595
ETTm2,perm_c256_e2e,H193-336,-49.84889700621322
ETTm2,perm_c256_e2e,H337-720,-25.097628203831167
ETTm2,random_c256_e2e,H1-48,-176.5677268543302
ETTm2,random_c256_e2e,H49-96,-111.23368100558211
ETTm2,random_c256_e2e,H97-192,-75.72840894276789
ETTm2,random_c256_e2e,H193-336,-45.45871145457314
ETTm2,random_c256_e2e,H337-720,-22.754540073455743
ETTm2,geo_m694_e2e,H1-48,-27.49077133837119
ETTm2,geo_m694_e2e,H49-96,-20.79912943114326
ETTm2,geo_m694_e2e,H97-192,-22.544158710073603
ETTm2,geo_m694_e2e,H193-336,-18.72031421882148
ETTm2,geo_m694_e2e,H337-720,-11.04812245475224
ETTm2,perm_m694_e2e,H1-48,-202.67760565316033
ETTm2,perm_m694_e2e,H49-96,-124.17885219226687
ETTm2,perm_m694_e2e,H97-192,-83.53275254502329
ETTm2,perm_m694_e2e,H193-336,-49.75801093917376
ETTm2,perm_m694_e2e,H337-720,-24.879446128034278
ETTm2,random_m694_e2e,H1-48,-173.0951354084794
ETTm2,random_m694_e2e,H49-96,-110.38690854718868
ETTm2,random_m694_e2e,H97-192,-75.14198717447044
ETTm2,random_m694_e2e,H193-336,-45.13985914793472
ETTm2,random_m694_e2e,H337-720,-22.652931807267418
Weather,geo_c256_e2e,H1-48,-3.4739446942950947
Weather,geo_c256_e2e,H49-96,-7.023879667829203
Weather,geo_c256_e2e,H97-192,-17.62302407200609
Weather,geo_c256_e2e,H193-336,-28.04414021102213
Weather,geo_c256_e2e,H337-720,-24.791645177799126
Weather,perm_c256_e2e,H1-48,-116.66588574561554
Weather,perm_c256_e2e,H49-96,-78.235943809995
Weather,perm_c256_e2e,H97-192,-63.74975419337861
Weather,perm_c256_e2e,H193-336,-51.40813407136737
Weather,perm_c256_e2e,H337-720,-36.294488329492246
Weather,random_c256_e2e,H1-48,-123.1333467617068
Weather,random_c256_e2e,H49-96,-76.51907619656804
Weather,random_c256_e2e,H97-192,-59.51108447025677
