dataset,arm,status,protocol_pass,invariant_pass,patch_audit_pass,readout_mode,profile_hash,dense_horizon_count,dense_mse_auc,dense_mae_auc,h720_mse,h720_mae,epochs_ran,epoch_limit,hit_epoch_limit,best_epoch,best_val_mse,full_prefix_max_abs,patch_contribution_entropy,atom_patch_profile_diversity,total_parameters,active_forward_parameters,decoder_parameters,run_dir,h48_mse,h48_mae,h96_mse,h96_mae,h192_mse,h192_mae,h336_mse,h336_mae
ETTh1,a6_e2e,ok,True,True,True,learned-basis-forecast-operator,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.1704109382059409,0.7349016880901598,1.4085524039963881,0.8232658363464805,8,20,False,3,1.4085522947625981,1.7881393432617188e-07,0.9703483336664246,,1720544,613904,613904,artifacts/stage_c_sc1_d8_e2e_remote_20260714/a6_e2e/ETTh1/h720_full/seed2021,0.6703490267197291,0.5574256423860788,0.8188300660500923,0.6131264179324111,1.0564278609429796,0.6950934776104987,1.2625895059179693,0.7666753586381674
ETTh1,geo_c256_e2e,ok,True,True,True,plgo-paf-geo-c256,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.5873003491159747,0.9098179223811483,1.8352780203852388,0.9940116550359461,20,20,True,18,1.835278058052063,8.344650268554688e-07,0.9681829642927681,0.0037567061205793706,1604320,497680,462288,artifacts/stage_c_sc1_d8_e2e_remote_20260714/geo_c256_e2e/ETTh1/h720_full/seed2021,1.142463198552529,0.7445084328452746,1.279035169010361,0.7973503873993953,1.4682403228556116,0.8705438409621516,1.6449976618446054,0.9344193875080063
ETTh1,perm_c256_e2e,ok,True,True,True,plgo-paf-perm-c256,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.691173391801394,0.9563788851089563,1.884111092156834,1.0143418346014288,20,20,True,20,1.884111008544763,7.450580596923828e-07,0.9998285342456258,0.0007458811492792197,1604320,497680,462288,artifacts/stage_c_sc1_d8_e2e_remote_20260714/perm_c256_e2e/ETTh1/h720_full/seed2021,1.4093458975354831,0.8649641387164593,1.4621970690786839,0.8826128399620453,1.578339573616783,0.9216186019281546,1.713931923820859,0.9662464151070231
ETTh1,random_c256_e2e,ok,True,True,True,plgo-paf-random-c256,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.6747740557476536,0.9503181805406898,1.8753400853938527,1.0111222583386632,20,20,True,20,1.8753400993016032,8.270144462585449e-07,0.9998199784792632,0.0008114902829263537,1604320,497680,462288,artifacts/stage_c_sc1_d8_e2e_remote_20260714/random_c256_e2e/ETTh1/h720_full/seed2021,1.395986686150233,0.8591428349415461,1.4464234846333663,0.8761716006944577,1.5585257299244404,0.9145280842979749,1.6968652971443676,0.9600277959945656
ETTh1,geo_m694_e2e,ok,True,True,True,plgo-paf-geo-m694,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.574885376954642,0.9050775395263881,1.8291151391963163,0.9917221545345254,20,20,True,20,1.8291151819129785,2.130866050720215e-06,0.9693397930581182,0.004050700332126802,1720390,613750,578358,artifacts/stage_c_sc1_d8_e2e_remote_20260714/geo_m694_e2e/ETTh1/h720_full/seed2021,1.1190219409763813,0.736082598567009,1.2532167217383783,0.7879340170572201,1.4511630227789283,0.863976743693153,1.6347193847454728,0.9304272958210537
ETTh1,perm_m694_e2e,ok,True,True,True,plgo-paf-perm-m694,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.690206673221309,0.9560312006767817,1.8835229602124957,1.0141291609240903,20,20,True,18,1.8835229713055823,1.3932585716247559e-06,0.9996591421717477,0.0008101940634549551,1720390,613750,578358,artifacts/stage_c_sc1_d8_e2e_remote_20260714/perm_m694_e2e/ETTh1/h720_full/seed2021,1.4081402868032455,0.8646994357307752,1.4593779097000759,0.8816100812206665,1.5767211019992828,0.9210168607532978,1.7136931887694768,0.9660979234391734
ETTh1,random_m694_e2e,ok,True,True,True,plgo-paf-random-m694,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,1.673572680710431,0.9499637939633215,1.8730530142784119,1.0103309782014953,20,20,True,18,1.8730531210700672,1.430511474609375e-06,0.9997047576751865,0.0007270517817232758,1720390,613750,578358,artifacts/stage_c_sc1_d8_e2e_remote_20260714/random_m694_e2e/ETTh1/h720_full/seed2021,1.401296575864156,0.8613244319955508,1.4488807780047257,0.8772042424728473,1.5569190680980682,0.9140202309936285,1.694672255998566,0.9592408493515991
ETTh2,a6_e2e,ok,True,True,True,learned-basis-forecast-operator,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,0.4284055871073221,0.4468362243325015,0.6463289392284222,0.5578593726166421,7,20,False,2,0.6463288881402048,1.7881393432617188e-07,0.9589724398434404,,972896,419216,419216,artifacts/stage_c_sc1_d8_e2e_remote_20260714/a6_e2e/ETTh2/h720_full/seed2021,0.20055399431536594,0.31530113114664954,0.2547264175179104,0.35235813399776816,0.3292483394810309,0.39534305323225755,0.4267033190865602,0.4497576748420085
ETTh2,geo_c256_e2e,ok,True,True,True,plgo-paf-geo-c256,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,0.5207735060617912,0.5097142536289501,0.7679636486909456,0.6290833179321554,20,20,True,20,0.7679636497671406,1.0952353477478027e-06,0.8883584183353094,0.009899741770433528,856672,302992,265680,artifacts/stage_c_sc1_d8_e2e_remote_20260714/geo_c256_e2e/ETTh2/h720_full/seed2021,0.20876167807728052,0.33260838439067203,0.29228121678655344,0.38592448209722835,0.4134203919675201,0.45876540957639617,0.5338889502787164,0.5241243871194976
ETTh2,perm_c256_e2e,ok,True,True,True,plgo-paf-perm-c256,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,720,0.6027001158079833,0.5609194541455262,0.8056446137527625,0.6500010364999373,20,20,True,20,0.8056446000105805,6.854534149169922e-07,0.9996665645318361,0.002201121253338421,856672,302992,265680,artifacts/stage_c_sc1_d8_e2e_remote_20260714/perm_c256_e2e/ETTh2/h720_full/seed2021,0.4148371946066618,0.4675784253825744,0.4472846370190382,0.48552609980106354,0.5070719194288055,0.5168057107366621,0.5953693224915436,0.5611142164007539
