lr_dir,learning_rate,model,strategy,dataset,horizon,mse,mae
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,96,0.30167078971862793,0.3592139780521393
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,192,0.3605720102787018,0.39708200097084045
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,336,0.38231727480888367,0.41527098417282104
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,720,0.4035765826702118,0.4386911988258362
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,96,0.15028659999370575,0.19959749281406403
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,192,0.19620832800865173,0.24249610304832458
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,336,0.2501240670681,0.2831633687019348
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,720,0.330771267414093,0.33865752816200256
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,96,0.30643635988235474,0.3611723482608795
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,192,0.3695296049118042,0.4034467935562134
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,336,0.38509389758110046,0.4199465811252594
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,720,0.4132079780101776,0.44461071491241455
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,96,0.14813600480556488,0.1958547979593277
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,192,0.19196151196956635,0.23846107721328735
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,336,0.2440028190612793,0.2791646122932434
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,720,0.31999096274375916,0.3329034447669983
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,96,0.3084641098976135,0.36424022912979126
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,192,0.36624854803085327,0.4005587697029114
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,336,0.383632630109787,0.41637131571769714
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,720,0.40332454442977905,0.4385681450366974
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,96,0.1509442925453186,0.19911156594753265
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,192,0.19741131365299225,0.2420535683631897
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,336,0.25257590413093567,0.28303393721580505
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,720,0.33020851016044617,0.336664617061615
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,96,0.2954109013080597,0.35519805550575256
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,192,0.35635820031166077,0.3937109410762787
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,336,0.3827396333217621,0.41537144780158997
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,720,0.405887246131897,0.4400404393672943
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,96,0.15143392980098724,0.20195229351520538
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,192,0.19626277685165405,0.2436904013156891
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,336,0.24868054687976837,0.2836267054080963
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,720,0.32695096731185913,0.338254451751709
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,96,0.30031517148017883,0.35893383622169495
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,192,0.3604849576950073,0.3980604410171509
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,336,0.3780958354473114,0.41389650106430054
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,720,0.4029088020324707,0.43718889355659485
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,96,0.14891685545444489,0.19556677341461182
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,192,0.1931014060974121,0.23863273859024048
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,336,0.2458879053592682,0.2796083986759186
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,720,0.3233675956726074,0.33409297466278076
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,96,0.30893898010253906,0.364199161529541
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,192,0.36851921677589417,0.403163880109787
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,336,0.383066326379776,0.4179953932762146
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,720,0.4101856052875519,0.44332125782966614
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,96,0.1509237140417099,0.1995583176612854
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,192,0.1951702982187271,0.2407691329717636
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,336,0.24785242974758148,0.280915766954422
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,720,0.3234710395336151,0.3341345191001892
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,96,0.3061315715312958,0.36130011081695557
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,192,0.3626208007335663,0.3990219831466675
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,336,0.38006922602653503,0.41535264253616333
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,720,0.40738406777381897,0.4417332708835602
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,96,0.15396647155284882,0.20714452862739563
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,192,0.19704756140708923,0.24644456803798676
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,336,0.24794921278953552,0.2846957743167877
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,720,0.3223620355129242,0.33613789081573486
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,96,0.30479592084884644,0.35886070132255554
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,192,0.3690433204174042,0.4003613591194153
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,336,0.3829101622104645,0.41559359431266785
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,720,0.41047340631484985,0.43929871916770935
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,96,0.14802636206150055,0.19702932238578796
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,192,0.19240911304950714,0.23990498483181
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,336,0.24479345977306366,0.28043317794799805
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,720,0.3208470046520233,0.3337559103965759
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,96,0.3012893795967102,0.35695844888687134
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,192,0.3653062880039215,0.3979943096637726
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,336,0.3815445303916931,0.4151480793952942
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,720,0.416938453912735,0.4467822313308716
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,96,0.14922431111335754,0.19906075298786163
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,192,0.19401873648166656,0.24142290651798248
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,336,0.24781225621700287,0.2822760343551636
