lr_dir,learning_rate,model,strategy,dataset,epochs_ran,first_epoch,best_epoch,last_epoch,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,post_best_val_drift_pct
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,14,1,4,14,0.38433,0.365659,0.384519,5.157810965954623
lr_0p00003,3e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,19,1,9,19,0.567271,0.519268,0.560598,7.959281141915175
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,13,1,3,13,0.363057,0.355943,0.420634,18.174539181835293
lr_0p00003,3e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,13,1,3,13,0.530752,0.521812,0.569121,9.06629207454024
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,14,1,4,14,0.385576,0.367997,0.384388,4.454112397655408
lr_0p00003,3e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,22,1,12,22,0.565161,0.520648,0.554112,6.427375117161693
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,12,1,2,12,0.380025,0.364476,0.387387,6.286010601521075
lr_0p00005,5e-05,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,15,1,5,15,0.534739,0.528719,0.575512,8.85025883314199
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,11,1,1,11,0.365641,0.365641,0.43579,19.185211724068154
lr_0p00005,5e-05,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,13,1,3,13,0.5265,0.51885,0.588305,13.386335164305653
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,14,1,4,14,0.381219,0.365063,0.399482,9.42823567439044
lr_0p00005,5e-05,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,14,1,4,14,0.537384,0.524725,0.566779,8.014483777216652
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,ETTh2,12,1,2,12,0.371073,0.366546,0.440666,20.22120006765864
lr_0p0001,0.0001,PatchEncoderHSSGRegionRoutedReadout,hssg_region_routed_readout,Weather,11,1,1,11,0.532011,0.532011,0.582596,9.50826204721331
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,11,1,1,11,0.374532,0.374532,0.443572,18.43367188918439
lr_0p0001,0.0001,PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,11,1,1,11,0.527042,0.527042,0.616694,17.010409037609886
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,14,1,4,14,0.371236,0.356905,0.455174,27.533657415838974
lr_0p0001,0.0001,PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,13,1,3,13,0.546509,0.52389,0.578225,10.371452022371109
