dataset,settings,official_last_wins,best_val_wins,official_last_mean_relative_mse_pct,best_val_mean_relative_mse_pct,mean_gap_delta_pct
ETTh2,4,3,3,-8.007362124994934,-8.377867291745329,-0.3705051667503927
ETTm2,4,0,0,3.7210184731684306,3.6795222921204243,-0.04149618104800612
Weather,4,0,0,1.0496073200435385,1.1468888394911392,0.09728151944760066
ALL,12,3,3,-1.078912110594322,-1.183818720044588,-0.10490660945026604
