model,dataset,target_horizon,mse,mae
TimeAlignOfficialFixedH96_best-val,ETTh2,96,0.27018916606903076,0.33173882961273193
TimeAlignOfficialFixedH192_best-val,ETTh2,192,0.34279870986938477,0.38126954436302185
TimeAlignOfficialFixedH336_best-val,ETTh2,336,0.3746516704559326,0.40716028213500977
TimeAlignOfficialFixedH720_best-val,ETTh2,720,0.42462989687919617,0.44861987233161926
TimeAlignOfficialFixedH96_best-val,ETTm2,96,0.1547023355960846,0.24140889942646027
TimeAlignOfficialFixedH192_best-val,ETTm2,192,0.21442751586437225,0.2853275239467621
TimeAlignOfficialFixedH336_best-val,ETTm2,336,0.26370513439178467,0.31760457158088684
TimeAlignOfficialFixedH720_best-val,ETTm2,720,0.3412989675998688,0.3721885085105896
TimeAlignOfficialFixedH96_best-val,Weather,96,0.14138399064540863,0.1826915442943573
TimeAlignOfficialFixedH192_best-val,Weather,192,0.18221214413642883,0.22012463212013245
TimeAlignOfficialFixedH336_best-val,Weather,336,0.23373481631278992,0.2635226547718048
TimeAlignOfficialFixedH720_best-val,Weather,720,0.30450135469436646,0.3174610733985901
