dataset,target_horizon,official_last_relative_mse_pct,best_val_relative_mse_pct,gap_delta_pct,official_last_unified_win,best_val_unified_win
ETTh2,96,-7.63918907092812,-7.3125279339037,0.3266611370244199,True,True
ETTh2,192,-11.547375274666061,-14.143193916825824,-2.595818642159763,True,True
ETTh2,336,-12.842884154385558,-12.055747316251786,0.7871368381337724,True,True
ETTh2,720,0.0,0.0,0.0,False,False
ETTm2,96,8.189113652745128,9.502713280365494,1.3135996276203663,False,False
ETTm2,192,4.414172761226154,3.024603149398253,-1.389569611827901,False,False
ETTm2,336,2.2807874787024396,2.19077273871795,-0.09001473998448972,False,False
ETTm2,720,0.0,0.0,0.0,False,False
Weather,96,1.9536108417305353,1.5462706570185336,-0.40734018471200173,False,False
Weather,192,1.443202987129344,1.6855099545716623,0.2423069674423184,False,False
Weather,336,0.8016154513142748,0.4309281371197349,-0.37068731419453993,False,False
Weather,720,0.0,0.9248466092546259,0.9248466092546259,False,False
