model,dataset,target_horizon,mse,mae
TimeAlignOfficialUnified720_best-val,ETTh2,96,0.25043150782585144,0.3215818405151367
TimeAlignOfficialUnified720_best-val,ETTh2,192,0.29431602358818054,0.3537699580192566
TimeAlignOfficialUnified720_best-val,ETTh2,336,0.32948461174964905,0.3834702968597412
TimeAlignOfficialUnified720_best-val,ETTh2,720,0.42462989687919617,0.44861987233161926
TimeAlignOfficialUnified720_best-val,ETTm2,96,0.16940325498580933,0.25505807995796204
TimeAlignOfficialUnified720_best-val,ETTm2,192,0.2209130972623825,0.28932881355285645
TimeAlignOfficialUnified720_best-val,ETTm2,336,0.2694823145866394,0.3222408890724182
TimeAlignOfficialUnified720_best-val,ETTm2,720,0.3412989675998688,0.3721885085105896
TimeAlignOfficialUnified720_best-val,Weather,96,0.1435701698064804,0.186073899269104
TimeAlignOfficialUnified720_best-val,Weather,192,0.1852833479642868,0.22726108133792877
TimeAlignOfficialUnified720_best-val,Weather,336,0.23474204540252686,0.2671949565410614
TimeAlignOfficialUnified720_best-val,Weather,720,0.3073175251483917,0.318570077419281
