dataset,settings,unified_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,3,-8.377867291745329,-4.023180743814592
ETTm2,4,0,3.6795222921204243,2.129023446445694
Weather,4,0,1.1468888394911392,1.7090711246884327
ALL,12,3,-1.183818720044588,-0.061695390893488446
