backbone,arm_id,dataset,horizon,mse,mae,seed,checkpoint_sha256,test_access_date,test_role,test_tuned,checkpoint_retrained,evidence_source,profile_id
patchtst_style,patchtst_original,Weather,96,0.15188577578740853,0.18856968710473043,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,Weather,192,0.19348987937726,0.2303070529918042,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,Weather,336,0.2462900090064447,0.2710705768580188,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,Weather,720,0.3229998147972855,0.32370075621734024,2021,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm1,96,0.28953897485870184,0.3354870958418374,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm1,192,0.3276257114450414,0.3597884952304937,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm1,336,0.3763955169875849,0.3860524120172884,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm1,720,0.4401028919414166,0.4194115000095883,2021,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm2,96,0.17044369702394754,0.25424647168161124,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm2,192,0.22648931671914901,0.29342235536221667,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm2,336,0.2762006326665543,0.32697244197301634,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTm2,720,0.3628093037137104,0.3803917802664584,2021,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh1,96,0.357725290411084,0.38907562180417604,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh1,192,0.38454183377325013,0.40440571609618586,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh1,336,0.3990115941731765,0.4179646103914146,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh1,720,0.436611634955463,0.45396820876482863,2021,4321f5471f0a7ce876eb7a2c45fa18c870e40b201f30474db0a30ef0b185db0e,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh2,96,0.24246429733509517,0.3084160489520587,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh2,192,0.2858242172676774,0.3397440728250926,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
patchtst_style,patchtst_original,ETTh2,336,0.31807049661967035,0.36863636918944526,2021,ffce5fdae6873666aa545ff3b5bfa14047d3fff91ae12eb960cd2f560a4664cc,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True,reused_decoder_transfer_v1,v1_shared_backbone_dataset_profile
