epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,train_error_energy_loss,train_error_smoothness_loss,val_mean_mse,epoch_elapsed_sec,elapsed_sec,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7775052217543917,0.777505221015273,0.0,0.0,0.0,0.0,0.0,0.0,1.6942171435933268e-05,8.37700797636298e-05,0.5291114374995232,311.3709697299637,311.37097435002215,286,277,295,271,0.41265302896499634,0.2844159007072449,0.47459885478019714,0.3295331299304962,0.5554725527763367,0.3828619718551636,0.6737213134765625,0.451656699180603
2,0.687891170052536,0.6878911241743816,0.0,0.0,0.0,0.0,0.0,0.0,0.00011845809503930598,0.0004376444232823745,0.5293044224381447,289.5657005070243,600.9425138660008,283,252,273,321,0.4195239543914795,0.28555798530578613,0.47898414731025696,0.3305721580982208,0.5546301603317261,0.38151657581329346,0.6640794277191162,0.4462447464466095
3,0.6570955949404051,0.6570954682871343,0.0,0.0,0.0,0.0,0.0,0.0,0.0005263111462211938,0.0007930793291882944,0.5523271635174751,284.8802491889801,885.8245634119958,269,308,274,278,0.44249227643013,0.2984960675239563,0.5034307241439819,0.34615838527679443,0.5790225267410278,0.3956604599952698,0.6843631267547607,0.458591103553772
4,0.620352291870793,0.6203520140413482,0.0,0.0,0.0,0.0,0.0,0.0,0.0015199785406925642,0.0012453193994394882,0.5741602554917336,263.2567444150336,1149.082228048006,261,307,286,275,0.46307191252708435,0.30884984135627747,0.5295137166976929,0.3592238426208496,0.6048287749290466,0.4079800546169281,0.6992266178131104,0.46542227268218994
5,0.5931156972956088,0.5931152695834478,0.0,0.0,0.0,0.0,0.0,0.0,0.0022657820139289813,0.002000761806271538,0.5862115249037743,268.2230954010738,1417.3061210480519,282,288,287,272,0.4635671079158783,0.31307438015937805,0.5424339175224304,0.36822709441185,0.6234477162361145,0.41780272126197815,0.7153973579406738,0.47339576482772827
6,0.5656304008882589,0.565629830684569,0.0,0.0,0.0,0.0,0.0,0.0,0.002777739422209396,0.0029574169391069966,0.590059444308281,279.5415592630161,1696.8484915720765,260,302,282,285,0.46292394399642944,0.3121856451034546,0.5457303524017334,0.36991772055625916,0.6295457482337952,0.42069005966186523,0.7220377326011658,0.4748452305793762
7,0.5470083937695641,0.5470077069962943,0.0,0.0,0.0,0.0,0.0,0.0,0.0033753672470334516,0.0035263768693620293,0.5963830724358559,279.3568765060045,1976.2061792110326,267,287,289,286,0.4689609110355377,0.3148556053638458,0.5520949363708496,0.37228885293006897,0.6372684240341187,0.423841655254364,0.7272080183029175,0.4779972732067108
8,0.5334589081173771,0.5334581453204683,0.0,0.0,0.0,0.0,0.0,0.0,0.004166052395340131,0.003451177195697013,0.6180553585290909,277.7639982920373,2253.970970085007,287,284,269,289,0.48681801557540894,0.3241114914417267,0.5705800652503967,0.3823187053203583,0.6614011526107788,0.4356531500816345,0.753422200679779,0.49014416337013245
9,0.5238237310237226,0.5238229017589238,0.0,0.0,0.0,0.0,0.0,0.0,0.005131621656265436,0.0031787021100262067,0.6066512539982796,276.4639785980107,2530.4363790580537,276,303,279,271,0.4743582308292389,0.3165426254272461,0.5612989068031311,0.375968337059021,0.6533876657485962,0.4303121268749237,0.7375602126121521,0.4821171164512634
10,0.5236030049404283,0.5236021191858422,0.0,0.0,0.0,0.0,0.0,0.0,0.005933465368509956,0.002925954580115628,0.6218731179833412,276.27180450805463,2806.709082636051,311,285,277,256,0.4859067499637604,0.31888285279273987,0.5743736028671265,0.3786658048629761,0.6705008149147034,0.4353116750717163,0.7567113041877747,0.48980578780174255
11,0.5065252469164593,0.5065242444867049,0.0,0.0,0.0,0.0,0.0,0.0,0.007368458126938883,0.002697700847940894,0.6307720094919205,264.2148165369872,3070.92486166209,294,282,281,272,0.49462103843688965,0.3222436308860779,0.5830414891242981,0.38421767950057983,0.6782189607620239,0.4402182102203369,0.7672065496444702,0.49519822001457214
