epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,train_raw_reconstruction_loss,mse,mae
1,0.6725842428784217,0.6275323206378568,0.901038461154507,6427.154704432333,6427.154704432333,0.37465569376945496,0.42199206352233887
2,0.5955278243749372,0.5541058269239241,0.8284399653634718,6429.138317477318,6429.138317477318,0.37130963802337646,0.4180262088775635
3,0.5700266716941711,0.5297395625422078,0.8057421945756481,6405.371904926916,6405.371904926916,0.390397310256958,0.4272700250148773
4,0.5537059725292267,0.5140125467892616,0.7938685186447636,6413.642786825857,6413.642786825857,0.38379061222076416,0.42274901270866394
5,0.5381079205582219,0.499316728884174,0.7758238450173409,6440.204692225302,6440.204692225302,0.38277268409729004,0.4209076762199402
6,0.5225000535288165,0.48489157663237664,0.7521695494651794,6430.425793063256,6430.425793063256,0.3932303190231323,0.42496511340141296
7,0.5091385096311569,0.47228250388176213,0.7371201322924706,6414.34541173135,6414.34541173135,0.4027737081050873,0.42828261852264404
8,0.49609289246220745,0.45981492198282675,0.7255594182399011,6440.609611265121,6440.609611265121,0.40504589676856995,0.4319559633731842
9,0.48239990588157405,0.44672736333262536,0.7134508067561735,6410.222140404486,6410.222140404486,0.40766391158103943,0.4349183738231659
10,0.4652520216280414,0.4301317439925286,0.7024055286761253,6399.209752236643,6399.209752236643,0.4405515491962433,0.44748255610466003
11,0.45046661986458686,0.41582260737496035,0.692880226719764,6401.842938823084,6401.842938823084,0.45662921667099,0.4582056999206543
12,0.43827153742313385,0.40403858355937466,0.6846591186138892,6442.053116336946,6442.053116336946,0.4531099200248718,0.45399710536003113
