dataset,profile_id,validation_mean_mse,mode_rank,readout_lr_multiplier,readout_weight_decay,checkpoint_sha256,reference_validation_mean_mse,gain_percent_over_reference
Weather,p04_lr4p00,0.5205445134454214,116,4.0,0.0,0e1784fc59ee5006f0d96332b2c9faf3c17b622734eefe1225235ac9a43babe9,0.522395042,0.35423930278774884
ETTm1,p01_lr0p25,0.6114107169841956,116,0.25,0.0,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,0.626720365,2.4428196163378812
ETTm2,p01_lr0p25,0.18493015147230057,106,0.25,0.0,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,0.185338586,0.22037209655814738
ETTh1,p01_lr0p25,1.091247470973296,109,0.25,0.0,c9c14a280916e2f38c4f36db6ddd62dced1212d8a9be0ff3b03c913585ea6894,1.09563452,0.4004117200235667
ETTh2,p10_rank1p50_lr0p50_wd1e4,0.37710434008003507,174,0.5,0.0001,7e5dae0d5ffa8779e613c6347125a119f8183dc3727479009a74b6f4a87bf886,0.377966682,0.2281528931073682
