dataset,profile_id,run_dir,mode_rank,readout_lr_multiplier,readout_weight_decay,best_epoch,validation_mean_mse,checkpoint_sha256,missing_files,effective_config_ok,pass
ETTm1,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p01_lr0p25/seed2021,116,0.25,0.0,3,0.6114107169841956,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,,True,True
ETTm1,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p02_lr0p50/seed2021,116,0.5,0.0,3,0.6139548161885672,a799d08961464f88ebe523b5abc1f2b2f40bd00da5f3901905c25d392e806916,,True,True
ETTm1,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p03_lr2p00/seed2021,116,2.0,0.0,3,0.6193468655674859,2e8a3f3ffb53e055942774841c1b26e7e1956a107c7639ea896e0c24812e8440,,True,True
ETTm1,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p04_lr4p00/seed2021,116,4.0,0.0,1,0.6252052462465751,866eaf112595667b8c1dfa308fe49894cc71b914c4834d06bb4be246c3441e90,,True,True
ETTm1,p05_wd1e5,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p05_wd1e5/seed2021,116,1.0,1e-05,2,0.6267203653316265,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,,True,True
ETTm1,p06_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p06_wd1e4/seed2021,116,1.0,0.0001,2,0.6267203653316265,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,,True,True
ETTm1,p07_wd1e3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p07_wd1e3/seed2021,116,1.0,0.001,2,0.6253634056752725,06751c4002bd5db3e2e3dbf4e998a5a93055b604f4c61bd699216dc443ba5613,,True,True
ETTm1,p08_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p08_lr0p50_wd1e4/seed2021,116,0.5,0.0001,3,0.6139548161885672,a799d08961464f88ebe523b5abc1f2b2f40bd00da5f3901905c25d392e806916,,True,True
ETTm1,p09_rank0p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p09_rank0p50_lr0p50_wd1e4/seed2021,58,0.5,0.0001,3,0.6253566523637837,e86514608874994962bbdebdca4010923b8ead2a68b6e32906dbf9330a671c84,,True,True
ETTm1,p10_rank1p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm1/p10_rank1p50_lr0p50_wd1e4/seed2021,174,0.5,0.0001,3,0.612750756782147,8db8a02ec092ffc2c4704449168541561665168a550d44219ac1b7bdf0883321,,True,True
ETTm2,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p01_lr0p25/seed2021,106,0.25,0.0,1,0.18493015147230057,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,,True,True
ETTm2,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p02_lr0p50/seed2021,106,0.5,0.0,1,0.18591528736976057,33c11b02e5437e622981e6225077e61946dded7cd7dbdcf3c6987a861ea293e5,,True,True
ETTm2,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p03_lr2p00/seed2021,106,2.0,0.0,1,0.18500885328024785,7fdb594ec376dd0c2e87c3eaaa333fb6a2c83c1b8e86af94dac95b13e8039e96,,True,True
ETTm2,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p04_lr4p00/seed2021,106,4.0,0.0,1,0.18618012822661845,ceb5db812bd1e172204f261787018daa2f0fa628df2b280f6522f9bb87d9f230,,True,True
ETTm2,p05_wd1e5,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p05_wd1e5/seed2021,106,1.0,1e-05,1,0.18533858589718066,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,,True,True
ETTm2,p06_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p06_wd1e4/seed2021,106,1.0,0.0001,1,0.18533858589718066,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,,True,True
ETTm2,p07_wd1e3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p07_wd1e3/seed2021,106,1.0,0.001,1,0.18504717169174306,3be50b8e97769544026bfb7d60e3120914a7bd364d9c53e990217b9285270e32,,True,True
ETTm2,p08_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p08_lr0p50_wd1e4/seed2021,106,0.5,0.0001,1,0.18591528736976057,33c11b02e5437e622981e6225077e61946dded7cd7dbdcf3c6987a861ea293e5,,True,True
ETTm2,p09_rank0p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p09_rank0p50_lr0p50_wd1e4/seed2021,53,0.5,0.0001,1,0.19078566787574103,d08c6789b96e43eeba5be49c840ea19093258d5196beab3e532df22b2c830948,,True,True
