dataset,arm,settings,wins_vs_h0_full,mean_relative_mse_vs_h0_full_pct,wins_vs_h0b_stochastic_k2,mean_relative_mse_vs_h0b_stochastic_k2_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,dense_prefix_residual_adapter_multiprefix,4,0,5.368795536406318,0,9.040071965341717,0,11.04158381982421,3,-2.9666591519136523
ETTh2,row_gated_dense_head_multiprefix,4,4,-3.7559915889124134,4,-0.3907164860885798,0,1.4449441120226003,4,-11.417477524007097
ETTh2,prefix_adapter_shared_dense_multiprefix,4,0,17.518274387080247,0,21.611409334645014,0,23.8521186736741,0,8.302066194996277
ETTm2,dense_prefix_residual_adapter_multiprefix,4,1,0.8561337076100267,1,2.438220742450023,0,2.692830500468429,0,4.537452937384822
ETTm2,row_gated_dense_head_multiprefix,4,4,-1.9674419296297512,4,-0.4183206010242524,3,-0.16530573350227729,1,1.648260373373761
ETTm2,prefix_adapter_shared_dense_multiprefix,4,1,4.185446080340144,0,5.816257282805143,0,6.077775837247989,0,7.981343898891302
Weather,dense_prefix_residual_adapter_multiprefix,4,0,0.20622606968880297,0,1.3761777189938595,0,1.374611946526838,0,1.2577057269459901
Weather,row_gated_dense_head_multiprefix,4,4,-1.144974646794708,3,0.009126231147682518,2,0.007538806128215558,2,-0.10807521603060921
Weather,prefix_adapter_shared_dense_multiprefix,4,0,1.5423797288687868,0,2.728126120950136,0,2.726592382963877,0,2.609262513135313
ALL,dense_prefix_residual_adapter_multiprefix,12,1,2.143718437901716,1,4.284823475595199,0,5.036342088939826,3,0.94283317080572
ALL,row_gated_dense_head_multiprefix,12,12,-2.2894693884456245,11,-0.2666369519883832,5,0.42905906154951295,7,-3.2924307888879816
ALL,prefix_adapter_shared_dense_multiprefix,12,1,7.748700065429726,0,10.051930912800099,0,10.885495631295322,0,6.297557535674297
