scope,mean_abs_gamma,mean_abs_beta,mean_segment_state_norm,std_segment_state_norm
all,0.5265205502510071,0.08943642675876617,6.653553485870361,0.8962447643280029
segment_0,0.5093711614608765,0.09109802544116974,6.236514091491699,0.8449803590774536
segment_1,0.527093231678009,0.09062686562538147,6.510629653930664,0.8613053560256958
segment_2,0.5300635099411011,0.08861848711967468,6.758794784545898,0.8983331918716431
segment_3,0.5300542712211609,0.08737187832593918,6.923590660095215,0.9176777005195618
segment_4,0.530016303062439,0.08898752927780151,6.764288425445557,0.9109712839126587
segment_5,0.5252170562744141,0.08842640370130539,6.563800811767578,0.8823022842407227
segment_6,0.5275526642799377,0.08939330279827118,6.666322231292725,0.9277451038360596
segment_7,0.5262140035629272,0.08969547599554062,6.557051181793213,0.8179567456245422
segment_8,0.5272455811500549,0.0892532616853714,6.669344425201416,0.7975103259086609
segment_9,0.5276896357536316,0.08972810953855515,6.711329936981201,0.8830206990242004
segment_10,0.5253352522850037,0.08991597592830658,6.610250949859619,0.9038370251655579
segment_11,0.5268457531929016,0.09048467129468918,6.689679145812988,0.9195186495780945
segment_12,0.5271642208099365,0.0897868350148201,6.70919132232666,0.9080544710159302
segment_13,0.5272080302238464,0.08959919959306717,6.581467628479004,0.8849034309387207
segment_14,0.5307367444038391,0.08856036514043808,6.851047992706299,0.8704904913902283
