source,source_url,source_pdf_sha256,source_page,source_table,evidence_role,model,dataset,horizon,mse,mae,reported_run_aggregation
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm1,96,0.279,0.33,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm1,96,0.293,0.345,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm1,96,0.3,0.345,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm1,96,0.3,0.353,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm1,96,0.293,0.346,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm1,192,0.322,0.356,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm1,192,0.335,0.372,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm1,192,0.336,0.366,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm1,192,0.345,0.382,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm1,192,0.333,0.37,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm1,336,0.35,0.375,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm1,336,0.368,0.386,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm1,336,0.367,0.386,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm1,336,0.374,0.398,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm1,336,0.369,0.369,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm1,720,0.407,0.406,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm1,720,0.426,0.417,three_run_mean
