split,seed,dataset,horizon,candidate_mse,reference_mse,mse_gain_percent,candidate_mae,reference_mae,mae_gain_percent
val,2021,Weather,96,0.39365945756435394,0.3963439625998338,0.6773169995755023,0.24967528933969638,0.2508964849015077,0.4867328301911821
val,2021,Weather,192,0.4466536344649891,0.4484884347766638,0.40910760889259973,0.29033936106134206,0.2908098398086925,0.16178226557256703
val,2021,Weather,336,0.5073346372338987,0.5102254888486295,0.5665831437104926,0.3353673907750774,0.33742304802650497,0.6092225363532711
val,2021,Weather,720,0.5892506884617938,0.5919227002395524,0.4514122835088408,0.38739869605956806,0.3887668860455354,0.3519306903641671
test,2021,Weather,96,0.14148944141101383,0.14248069210844252,0.6957087888611975,0.18258081640473603,0.183581695827977,0.545195651846926
test,2021,Weather,192,0.18428533562057492,0.18541769931965432,0.6107096049807215,0.22609648471333335,0.22733255737000138,0.5437288309989959
test,2021,Weather,336,0.23544898982358126,0.23774543095401202,0.9659244012453677,0.26765105762038316,0.26985287894826376,0.8159339772331048
test,2021,Weather,720,0.3076290182325402,0.31143443416416394,1.221899544228895,0.3182764320718581,0.3205581974598603,0.7118100257872678
val,2021,ETTm1,96,0.36654460631931823,0.3829467575221012,4.28314142386657,0.39549759092430276,0.40524715759480995,2.405832215671056
val,2021,ETTm1,192,0.4907582733624925,0.5068081244438266,3.1668496038707517,0.45742661443849403,0.4651590226373325,1.662314998212374
val,2021,ETTm1,336,0.6476812523656658,0.6607657060514958,1.980195637576004,0.5235437172509375,0.5292197929340459,1.0725365450977629
val,2021,ETTm1,720,0.9533151072553463,0.951679669889725,-0.17184746268782156,0.632443389793237,0.6340783126859202,0.2578424241885433
test,2021,ETTm1,96,0.27575233497248164,0.2890729628886925,4.6080504323539815,0.3296445504371809,0.3389112567160534,2.7342574480010047
test,2021,ETTm1,192,0.3195475489918606,0.32630321943829477,2.0703658572733397,0.35486172560994733,0.360293793986626,1.5076774752551751
test,2021,ETTm1,336,0.36125376183857927,0.3670505633338473,1.5792923576024012,0.3769543350253046,0.38156209790573137,1.2076049758917982
test,2021,ETTm1,720,0.42131830841427304,0.4244134471424136,0.729274425440615,0.4086682180577925,0.41136901955912913,0.656539839638655
val,2021,ETTh1,96,0.7892584266761938,0.7900539766997099,0.1006956545980953,0.6069070495044192,0.6074814728150765,0.09455816125475955
val,2021,ETTh1,192,1.0377961099147797,1.0392014648144443,0.13523411458196707,0.6919590826146305,0.6927823517471552,0.1188351767980945
val,2021,ETTh1,336,1.2531143359485126,1.2555938737378234,0.19747928380132443,0.7664460446685553,0.7677548320165702,0.17046943808576856
val,2021,ETTh1,720,1.4077641639444562,1.4094799532658524,0.12173208405132438,0.8261943483104308,0.827192162639565,0.12062666623316774
test,2021,ETTh1,96,0.36598459999999616,0.3667158650255675,0.19940915987378274,0.4034015337787092,0.403861791872813,0.1139642579134534
test,2021,ETTh1,192,0.3921120819997885,0.3927389009858774,0.1596019606194921,0.41870207218255784,0.41905723578709114,0.08475300608190682
test,2021,ETTh1,336,0.41358167716531435,0.4142320880631338,0.1570160585242469,0.43542753212719487,0.43575390671579567,0.07489883247648382
test,2021,ETTh1,720,0.4719652058814105,0.4728214199156875,0.18108613489415734,0.4813734921559826,0.48183364246920224,0.09549983078424765
