seed,arm,dataset,all_finite,policy_normalized_entropy,policy_usage_max,policy_usage_min,pairwise_arm_l1,oracle_headroom_percent
2021,iscf_bsca_v1,Weather,True,0.9987932730887311,0.20385571519081275,0.1944994536680862,0.04484664587870156,10.172645793095727
2021,iscf_equal,Weather,True,0.2947628531133108,0.2567370601010361,0.09168058362911814,0.05772408383768986,12.159775560827685
2021,iscf_bsca_v1,ETTm1,True,0.9992947064695921,0.20183579497277696,0.19798008896664362,0.08593878384158919,21.70092863644403
2021,iscf_equal,ETTm1,True,0.8117576711829548,0.23070303421696817,0.16352927080357538,0.10223281741706565,25.050951121715006
2021,iscf_bsca_v1,ETTh1,True,0.9993935688585655,0.20699435104158237,0.1923055933090127,0.24022299645303874,46.231754406088115
2021,iscf_equal,ETTh1,True,0.9863042138276471,0.25014351468370494,0.13846714710766256,0.2411628173227594,46.157159895782826
2021,iscf_bsca_v1,ETTh2,True,0.9995120600748514,0.2061469765156414,0.1962310766752354,0.10626385948446744,41.318087067799475
2021,iscf_equal,ETTh2,True,0.9271239151253191,0.22402428078825393,0.17550803848289911,0.10821843822505203,42.03911738614716
2021,iscf_bsca_v1,ETTm2,True,0.9946942190216425,0.20200778001818062,0.19507456690997524,0.10544382028706833,43.35520021919076
2021,iscf_equal,ETTm2,True,0.9365990194389596,0.30241848190216414,0.14193453850631327,0.10005475419205052,39.66482825867802
2022,iscf_bsca_v1,Weather,True,0.9994919232440873,0.20280680881552857,0.19636793522405252,0.03958560255870831,8.748094789740161
2022,iscf_equal,Weather,True,0.3250446033964878,0.26954721820078925,0.11642803586824171,0.05112594567035431,11.266033458758683
2022,iscf_bsca_v1,ETTm1,True,0.9993120144235752,0.20127373356100384,0.19890979206344006,0.0867367273794015,21.493812558442638
2022,iscf_equal,ETTm1,True,0.5178427004477335,0.24280821324217355,0.1357129983951423,0.09506864178235344,24.636713486146345
2022,iscf_bsca_v1,ETTh1,True,0.9985644788361067,0.21667885640528345,0.18403049078253128,0.2808260754862547,49.41418787908696
2022,iscf_equal,ETTh1,True,0.9886294513653078,0.2557035512742488,0.14790450224975865,0.2382551665517374,45.955178071793135
2022,iscf_bsca_v1,ETTh2,True,0.9978504691169261,0.21228623215729459,0.1892350412149298,0.13086397811978778,47.43222368218099
2022,iscf_equal,ETTh2,True,0.9718192320219685,0.266922822850958,0.144670927380457,0.1308910587319877,47.517202136756936
2022,iscf_bsca_v1,ETTm2,True,0.9873823665506746,0.21697415214883214,0.1912355014547197,0.09442837242214083,39.0121747170925
2022,iscf_equal,ETTm2,True,0.7628353785257587,0.476546575692646,0.09683011505089312,0.10077956800600212,40.02285928763766
2023,iscf_bsca_v1,Weather,True,0.9986401164212302,0.2060864577625547,0.19059928786662586,0.04480453867546405,10.97358866169054
2023,iscf_equal,Weather,True,0.39335823441353057,0.24600465116592585,0.13322119148688458,0.0476782092846482,10.057282928853375
2023,iscf_bsca_v1,ETTm1,True,0.9993666129205843,0.2014589455341443,0.1978201515480291,0.08884056268407019,21.93590625528274
2023,iscf_equal,ETTm1,True,0.742731776996867,0.23644665343047205,0.17371982186368837,0.09846126333833025,24.609144464493415
2023,iscf_bsca_v1,ETTh1,True,0.9993156288073176,0.20815486356518992,0.19690304412037074,0.24044981981027327,45.99156237876365
2023,iscf_equal,ETTh1,True,0.9918714605087459,0.2428041440938679,0.16210936884466395,0.24114011424187737,45.843304969611424
2023,iscf_bsca_v1,ETTh2,True,0.9995220390317145,0.20158331051524014,0.19764843204285826,0.11521492743549629,43.773915555306665
2023,iscf_equal,ETTh2,True,0.8921007776452538,0.24786767753703914,0.14919990497844718,0.11887490851319274,45.22962908863171
2023,iscf_bsca_v1,ETTm2,True,0.9902528662763972,0.2090589702742659,0.19527358527032723,0.0910696805648609,37.28640339712842
2023,iscf_equal,ETTm2,True,0.7864093215770138,0.37733333268837577,0.07222543296814153,0.10080027379695138,39.451150704023576
