dataset,variant,target_horizon,mse,mae,source_path,a6_lbf_r256_mse,a6_der_mse,best_stage_control_mse,best_stage_control_name,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_a6_der_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTh2,lbf_r256_ema0995,96,0.2419603914022445,0.3142814636230469,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-0.04303563296237378,-0.3308211362885838,0.6225045286576858,False
ETTh2,lbf_r256_ema0995,192,0.2823425829410553,0.3452860116958618,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-0.16377245060953394,-0.24200712069335495,1.8436868404817286,False
ETTh2,lbf_r256_ema0995,336,0.3121342360973358,0.3709388971328735,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-0.22839804246035378,0.004382686649950784,3.150763100906784,False
ETTh2,lbf_r256_ema0995,720,0.3931568264961242,0.4291748404502868,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.2578205438970249,-0.10733489980447875,2.304349093850888,False
ETTh2,lbf_r256_ema0995_smooth10,96,0.2422380298376083,0.314437597990036,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_smooth10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,0.07166039240669164,-0.21645533156597896,0.7379642307924872,False
ETTh2,lbf_r256_ema0995_smooth10,192,0.2828374803066253,0.345522940158844,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_smooth10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,0.011223065433307866,-0.06714873639915853,2.022201082974928,False
ETTh2,lbf_r256_ema0995_smooth10,336,0.3127763867378235,0.3711787462234497,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_smooth10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-0.023138924138144112,0.21012070243680014,3.362974133634955,False
ETTh2,lbf_r256_ema0995_smooth10,720,0.3931356072425842,0.4290763139724731,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0995_smooth10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.2632037763678374,-0.1127262542073626,2.2988275773074385,False
ETTh2,lbf_r256_ema0999,96,0.2381505370140075,0.312233418226242,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0999_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-1.6169357127300388,-1.9001898096704162,-0.9618749981409658,True
ETTh2,lbf_r256_ema0999,192,0.2772567272186279,0.3428959250450134,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0999_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-1.9621290566112504,-2.038954480380206,0.009169736772629555,False
ETTh2,lbf_r256_ema0999,336,0.3068759441375732,0.3691103160381317,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0999_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-1.9091755788994136,-1.6803163325830872,1.4130593647240675,False
ETTh2,lbf_r256_ema0999,720,0.3927765786647796,0.4303051829338074,analysis/phase5_timealign_hss_a6s2_stability_calibration_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_lbf_r256_ema0999_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.35428776734517387,-0.2039476678189711,2.2054038275897137,False
