short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,5.367102975158827e-14,1.3117596608935855e-07,0.0
192,720,5.112328000712353e-14,1.2791292647307273e-07,0.0
336,720,3.377915894046957e-14,9.665200906283644e-08,0.0
