epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.47066224648645427,0.6101484224200249,273,257,272,254,0.3751082718372345,0.4082984924316406,0.4965304136276245,0.4698724150657654,0.6380102634429932,0.531903088092804,0.9309447407722473,0.636046826839447
2,0.3770675557580861,0.6349824145436287,265,233,261,297,0.3961738049983978,0.4202733337879181,0.5214908719062805,0.4827490448951721,0.6666358113288879,0.5467085242271423,0.9556291699409485,0.6486092805862427
3,0.32784351079978724,0.6866055577993393,245,286,251,274,0.4431861639022827,0.4431228041648865,0.5759444832801819,0.5071582198143005,0.7228782176971436,0.570101797580719,1.004413366317749,0.6688416004180908
4,0.28725739854924154,0.7071345373988152,245,296,270,245,0.46784713864326477,0.4543609917163849,0.5965449810028076,0.5164157152175903,0.7439171671867371,0.5790318846702576,1.0202288627624512,0.6747835874557495
5,0.2557181229843109,0.732801653444767,267,257,267,265,0.4968145191669464,0.4678773283958435,0.6220218539237976,0.5285744667053223,0.7685635685920715,0.5891085267066956,1.0438066720962524,0.6834108829498291
6,0.23198015913085052,0.7403206452727318,234,303,268,251,0.49394920468330383,0.4677121043205261,0.6285333633422852,0.532159686088562,0.7769201397895813,0.5925605297088623,1.0618798732757568,0.689395010471344
7,0.21589635706252672,0.7470418736338615,265,256,263,272,0.49193039536476135,0.46847647428512573,0.6338943243026733,0.5359015464782715,0.7881777882575989,0.5976554155349731,1.0741649866104126,0.6936588883399963
8,0.20254024607834942,0.765419602394104,263,268,257,268,0.5040719509124756,0.474323034286499,0.6582443118095398,0.545081615447998,0.8095977902412415,0.6060605049133301,1.0897643566131592,0.6995314955711365
9,0.1916462893484894,0.7796904146671295,264,273,257,262,0.5002089738845825,0.47350141406059265,0.6706467866897583,0.5490278005599976,0.8259201049804688,0.6099131107330322,1.1219857931137085,0.7086090445518494
10,0.18246466284053345,0.7739413902163506,267,276,268,245,0.49682316184043884,0.47282370924949646,0.6677029132843018,0.5486418008804321,0.820205569267273,0.608711302280426,1.1110339164733887,0.7053842544555664
11,0.17496392212695244,0.7640279456973076,286,267,254,249,0.4975002706050873,0.47190573811531067,0.6575497388839722,0.5446851849555969,0.8052054643630981,0.6035191416740417,1.0958563089370728,0.7008930444717407
