dataset,target_horizon,loss_mode,mse,mae,relative_mse_vs_full_pct,relative_mae_vs_full_pct,beats_full,relative_mse_vs_multi_prefix_pct,beats_multi_prefix,fixed_mse,relative_mse_vs_fixed_pct,beats_fixed
ETTh2,96,full,0.24910904467105865,0.31970900297164917,0.0,0.0,False,2.609701572146661,False,0.2697129249572754,-7.63918907092812,True
ETTh2,96,multi-prefix,0.2427733838558197,0.3152416944503784,-2.5433282936815904,-1.3973045737679435,True,0.0,False,0.2697129249572754,-9.98822770756096,True
ETTh2,96,balanced-step,0.24511565268039703,0.31707674264907837,-1.6030698507694785,-0.8233300589299386,True,0.9647963822790206,False,0.2697129249572754,-9.119797384858275,True
ETTh2,96,stochastic-prefix,0.24263733625411987,0.3154909908771515,-2.5979419677372606,-1.3193285316621894,True,-0.056038927966106655,True,0.2697129249572754,-10.038669339796936,True
ETTh2,96,continuous-prefix,0.2439149171113968,0.3163815140724182,-2.0850818831249396,-1.0407867367832724,True,0.47020527433725423,False,0.2697129249572754,-9.564987606717478,True
ETTh2,192,full,0.2959613502025604,0.35337868332862854,0.0,0.0,False,4.558932285064277,False,0.33459872007369995,-11.547375274666061,True
ETTh2,192,multi-prefix,0.28305697441101074,0.34591731429100037,-4.360155737469684,-2.1114372172498563,True,0.0,False,0.33459872007369995,-15.404047466570237,True
ETTh2,192,balanced-step,0.2885427176952362,0.34927091002464294,-2.506622064755004,-1.1624281536431913,True,1.9380350177345962,False,0.33459872007369995,-13.764548282886224,True
ETTh2,192,stochastic-prefix,0.2826364040374756,0.34579846262931824,-4.502258878047771,-2.145070163233642,True,-0.14858152653199896,True,0.33459872007369995,-15.529741424228682,True
ETTh2,192,continuous-prefix,0.2847572863101959,0.3470085561275482,-3.7856510266277232,-1.8026348225301247,True,0.600695991583744,False,0.33459872007369995,-14.895882970659835,True
ETTh2,336,full,0.3267449736595154,0.3787094056606293,0.0,0.0,False,4.440830695657638,False,0.37489190697669983,-12.842884154385558,True
ETTh2,336,multi-prefix,0.31285175681114197,0.37108421325683594,-4.252006294931054,-2.013467922850176,True,0.0,False,0.37489190697669983,-16.548810206621447,True
ETTh2,336,balanced-step,0.3187311887741089,0.3745720386505127,-2.4526115262471504,-1.092491221045666,True,1.8793028439076709,False,0.37489190697669983,-14.98050962355969,True
ETTh2,336,stochastic-prefix,0.3116655647754669,0.3709200322628021,-4.615039281296474,-2.0568206866262484,True,-0.3791546666592982,True,0.37489190697669983,-16.86521928710575,True
ETTh2,336,continuous-prefix,0.3141801059246063,0.3722979724407196,-3.8454662650762805,-1.6929691008665149,True,0.4245937842906944,False,0.37489190697669983,-16.194481641842128,True
ETTh2,720,full,0.40325209498405457,0.43513625860214233,0.0,0.0,False,2.3297034026421803,False,0.40325209498405457,0.0,False
ETTh2,720,multi-prefix,0.39407140016555786,0.42946064472198486,-2.2766638866091315,-1.3043302570073467,True,0.0,False,0.40325209498405457,-2.2766638866091315,True
ETTh2,720,balanced-step,0.396930992603302,0.431378573179245,-1.56753119435189,-0.8635652278136452,True,0.7256533807179943,False,0.40325209498405457,-1.56753119435189,True
ETTh2,720,stochastic-prefix,0.395764023065567,0.43026185035705566,-1.8569207727944126,-1.1202027293118477,True,0.4295218834196257,False,0.40325209498405457,-1.8569207727944126,True
ETTh2,720,continuous-prefix,0.3938332200050354,0.42919403314590454,-2.335728715654062,-1.365601082136192,True,-0.06044086437696494,True,0.40325209498405457,-2.335728715654062,True
ETTm2,96,full,0.16761432588100433,0.2530774176120758,0.0,0.0,False,2.971727191187079,False,0.15492716431617737,8.189113652745128,False
ETTm2,96,multi-prefix,0.16277703642845154,0.2484007626771927,-2.8859642080874215,-1.8479147523354444,True,0.0,False,0.15492716431617737,5.066814555679877,False
ETTm2,96,balanced-step,0.16477161645889282,0.250409334897995,-1.695982373326288,-1.0542555472770498,True,1.2253448485149088,False,0.15492716431617737,6.354245355336641,False
ETTm2,96,stochastic-prefix,0.16318978369235992,0.24886949360370636,-2.6397160060086744,-1.6627022861516072,True,0.2535660268577322,False,0.15492716431617737,5.33322830289471,False
ETTm2,96,continuous-prefix,0.1640365570783615,0.2498018443584442,-2.1345244708873,-1.2942969327482512,True,0.7737704761958897,False,0.15492716431617737,5.879790546991215,False
ETTm2,192,full,0.2195192277431488,0.2874913811683655,0.0,0.0,False,1.5737089756060696,False,0.21023891866207123,4.414172761226154,False
ETTm2,192,multi-prefix,0.21611815690994263,0.28463125228881836,-1.5493270763441425,-0.9948572607371919,True,0.0,False,0.21023891866207123,2.7964557110957244,False
ETTm2,192,balanced-step,0.21743665635585785,0.28575146198272705,-0.9486965714582851,-0.6052074251991169,True,0.6100826810514715,False,0.21023891866207123,3.423599084123885,False
ETTm2,192,stochastic-prefix,0.21667398512363434,0.2850893437862396,-1.2961245576371905,-0.8355163109112995,True,0.25718718947029817,False,0.21023891866207123,3.060835026414188,False
ETTm2,192,continuous-prefix,0.2171318233013153,0.28552523255348206,-1.0875605141190237,-0.6838982813651584,True,0.46903342406121595,False,0.21023891866207123,3.2786054471310555,False
ETTm2,336,full,0.26930680871009827,0.32044097781181335,0.0,0.0,False,1.1018856558958623,False,0.26330146193504333,2.2807874787024396,False
ETTm2,336,multi-prefix,0.2663716971874237,0.31832632422447205,-1.0898764634778013,-0.6599198397725492,True,0.0,False,0.26330146193504333,1.1660532493122933,False
ETTm2,336,balanced-step,0.2674368917942047,0.3190857470035553,-0.6943444634207041,-0.4229268108943085,True,0.3998903104302176,False,0.26330146193504333,1.5706064937009767,False
