dataset,loss_mode,best_epoch,best_val_mean_mse,last_epoch,last_val_mean_mse,last_gap_to_best_pct
ETTh2,balanced-step,1,0.4046233147382736,10,0.4764571338891983,17.753257544585544
ETTh2,continuous-prefix,1,0.41911404579877853,10,0.45168380439281464,7.771096893677765
ETTh2,full,1,0.4068785011768341,10,0.4913294166326523,20.755806760877448
ETTh2,multi-prefix,1,0.40034953132271767,10,0.4549475274980068,13.637582138513427
ETTh2,stochastic-prefix,1,0.41694607958197594,10,0.44365841895341873,6.406665197145922
ETTm2,balanced-step,3,0.18233175948262215,10,0.18470495380461216,1.3015803328636277
ETTm2,continuous-prefix,3,0.18213889561593533,10,0.1832044143229723,0.585003386252958
ETTm2,full,3,0.184626754373312,10,0.1864786073565483,1.0030252600833345
ETTm2,multi-prefix,3,0.1801447533071041,10,0.1831627432256937,1.675313803585854
ETTm2,stochastic-prefix,3,0.18077491223812103,10,0.1827199049293995,1.0759195881762995
Weather,balanced-step,5,0.48934073001146317,10,0.490106999874115,0.15659229155804422
Weather,continuous-prefix,7,0.4899919703602791,10,0.4901115819811821,0.024410934900642722
Weather,full,5,0.4895046278834343,10,0.4907093271613121,0.24610579946644506
Weather,multi-prefix,7,0.48943012952804565,10,0.4897739887237549,0.07025705508583169
Weather,stochastic-prefix,10,0.4901469573378563,10,0.4901469573378563,0.0
