dataset,loss_mode,settings,wins_vs_full,mean_relative_mse_vs_full_pct,mean_relative_mae_vs_full_pct,wins_vs_multi_prefix,mean_relative_mse_vs_multi_prefix_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,full,4,0,0.0,0.0,0,3.4847919888776895,3,-8.007362124994934
ETTh2,multi-prefix,4,4,-3.3580385531728654,-1.706634992718831,0,0.0,4,-11.054437316840442
ETTh2,balanced-step,4,4,-2.0324586590308806,-0.9854536653581103,0,1.3769469061598205,4,-9.85809662141402
ETTh2,stochastic-prefix,4,4,-3.393040224968979,-1.6603555277084818,3,-0.038563309434444526,4,-11.072637705981444
ETTh2,continuous-prefix,4,4,-3.0129819726207514,-1.4754979355790259,1,0.3587635464586819,4,-10.747770233718375
ETTm2,full,4,0,0.0,0.0,0,1.6062053587470593,0,3.7210184731684306
ETTm2,multi-prefix,4,4,-1.5741672353550369,-0.9762193962229271,0,0.0,1,2.0644555806442786
ETTm2,balanced-step,4,4,-0.9914068533287107,-0.5989305516759802,0,0.5953354008689682,1,2.6804617320129847
ETTm2,stochastic-prefix,4,4,-1.2497740942308462,-0.8038482443793377,0,0.32900886824456244,1,2.3983630128191966
ETTm2,continuous-prefix,4,4,-1.0695814274569253,-0.6575693777782166,0,0.5138159508521145,1,2.5913898182690325
Weather,full,4,0,0.0,0.0,0,1.18535158914444,0,1.0496073200435385
Weather,multi-prefix,4,4,-1.1713955601474701,-1.0600205582471571,0,0.0,2,-0.1346209733395054
Weather,balanced-step,4,4,-0.6471724215465741,-0.6262590236532223,0,0.5304893857067783,1,0.39556104975429773
Weather,stochastic-prefix,4,4,-1.070083516049486,-0.8462306178954271,1,0.10258320029402912,2,-0.031864083414109845
Weather,continuous-prefix,4,4,-0.9396872155954333,-0.7055841513299632,0,0.23453484971493466,2,0.09999449043419373
ALL,full,12,0,0.0,0.0,0,2.092116312256396,3,-1.0789121105943216
ALL,multi-prefix,12,12,-2.0345337828917907,-1.247624982396305,0,0.0,7,-3.04153423651189
ALL,balanced-step,12,12,-1.2236793113020548,-0.7368810802291043,0,0.8342572309118556,6,-2.260691279882246
ALL,stochastic-prefix,12,12,-1.9042992784164368,-1.1034781299944154,4,0.13100958636804902,7,-2.902046258858786
ALL,continuous-prefix,12,12,-1.6740835385577038,-0.9462171548957353,1,0.36903811567524364,7,-2.685461975005049
