dataset,loss_mode,target_horizon,mse,mae,source_path
ETTh2,full,96,0.24910904467105865,0.31970900297164917,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,192,0.2959613502025604,0.35337868332862854,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,336,0.3267449736595154,0.3787094056606293,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,720,0.40325209498405457,0.43513625860214233,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,96,0.2427733838558197,0.3152416944503784,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,192,0.28305697441101074,0.34591731429100037,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,336,0.31285175681114197,0.37108421325683594,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,720,0.39407140016555786,0.42946064472198486,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,balanced-step,96,0.24511565268039703,0.31707674264907837,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_balanced_step_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,balanced-step,192,0.2885427176952362,0.34927091002464294,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_balanced_step_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,balanced-step,336,0.3187311887741089,0.3745720386505127,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_balanced_step_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,balanced-step,720,0.396930992603302,0.431378573179245,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_balanced_step_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic-prefix,96,0.24263733625411987,0.3154909908771515,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_stochastic_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic-prefix,192,0.2826364040374756,0.34579846262931824,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_stochastic_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic-prefix,336,0.3116655647754669,0.3709200322628021,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_stochastic_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic-prefix,720,0.395764023065567,0.43026185035705566,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_stochastic_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous-prefix,96,0.2439149171113968,0.3163815140724182,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_continuous_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous-prefix,192,0.2847572863101959,0.3470085561275482,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_continuous_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous-prefix,336,0.3141801059246063,0.3722979724407196,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_continuous_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous-prefix,720,0.3938332200050354,0.42919403314590454,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_continuous_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,96,0.16761432588100433,0.2530774176120758,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,192,0.2195192277431488,0.2874913811683655,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,336,0.26930680871009827,0.32044097781181335,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,720,0.343566358089447,0.3716011643409729,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,96,0.16277703642845154,0.2484007626771927,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,192,0.21611815690994263,0.28463125228881836,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,336,0.2663716971874237,0.31832632422447205,analysis/phase5_timealign_hss_h0_prefix_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
