run_start dataset=Solar mode=fixed pred_len=192 target_horizons=[192] encoder_mode=timealign-token-mlp readout_mode=official pcc_objective_mode=off output_dir=/home/yingch/exp_outputs/r-2026-fatst/timealign_official_reproduction/main_i_8dataset_20260806/runs/TimeAlign__Solar__H192__seed2021
train 35881
val 5065
Updating learning rate to 1.2235870926211617e-05
	iters: 100, epoch: 10 | loss: 0.4098185
	iters: 200, epoch: 10 | loss: 0.3820421
	iters: 300, epoch: 10 | loss: 0.3932853
	iters: 400, epoch: 10 | loss: 0.3563063
	iters: 500, epoch: 10 | loss: 0.4067127
	iters: 600, epoch: 10 | loss: 0.3625328
	iters: 700, epoch: 10 | loss: 0.4233040
	iters: 800, epoch: 10 | loss: 0.3658606
	iters: 900, epoch: 10 | loss: 0.3944259
	iters: 1000, epoch: 10 | loss: 0.3995864
	iters: 1100, epoch: 10 | loss: 0.3943516
Epoch: 10, Steps: 1122 | Train Loss: 0.3849543 Vali Loss: 0.1662885
Updating learning rate to 0.0
test 10321
run_done output_dir=/home/yingch/exp_outputs/r-2026-fatst/timealign_official_reproduction/main_i_8dataset_20260806/runs/TimeAlign__Solar__H192__seed2021 evaluation_split=test
