dataset,reference,target_horizon,direct_mse,reference_mse,direct_gain_percent
ETTh1,a6,1,0.30773603916168213,0.36219751834869385,15.036403185562609
ETTh1,a6,2,0.37485113739967346,0.39852139353752136,5.939519564492168
ETTh1,a6,3,0.386493722597758,0.4193097452322642,7.826200799680616
ETTh1,a6,4,0.40429506450891495,0.43540093302726746,7.14418967871262
ETTh1,a6,5,0.43236165642738345,0.4514400243759155,4.226113529677966
ETTh1,a6,6,0.44887982308864594,0.46592146158218384,3.6576204143221047
ETTh1,a6,7,0.45950371452740263,0.47371853249413626,3.0006885928427485
ETTh1,a6,8,0.4650712348520756,0.4834538698196411,3.8023555327881486
ETTh1,a6,9,0.4776807592974769,0.491480741235945,2.807837780940259
ETTh1,a6,10,0.4877550393342972,0.49744133949279784,1.9472246050915243
ETTh1,a6,11,0.4898074838248166,0.5043899416923523,2.891107982567609
ETTh1,a6,12,0.49686137586832047,0.5137234032154083,3.2823163674358558
ETTh1,a6,13,0.501985102891922,0.5184876872942998,3.1828305293990056
ETTh1,a6,14,0.5057683650936399,0.5231120075498309,3.315473972280958
ETTh1,a6,15,0.5094500839710235,0.5271921197573344,3.365383343453132
ETTh1,a6,16,0.5130209755152464,0.532454114407301,3.6497302520962727
ETTh1,a6,17,0.5167174952871659,0.5359243154525757,3.5838680223326036
ETTh1,a6,18,0.5197243707047569,0.5415731999609206,4.034326155308332
ETTh1,a6,19,0.523684804376803,0.5453005464453446,3.9640052095029743
ETTh1,a6,20,0.5297630831599236,0.5487223744392395,3.455170075521552
ETTh1,a6,21,0.5335215486231304,0.5526300129436311,3.4577319133859308
ETTh1,a6,22,0.5370232151313261,0.5560275478796526,3.4178761143755065
ETTh1,a6,23,0.5408530118672744,0.5602220633755559,3.457388199167921
ETTh1,a6,24,0.544197799017032,0.5631631885965666,3.3676543431038763
ETTh1,a6,25,0.5499665868282319,0.567778000831604,3.137038415945037
ETTh1,a6,26,0.5544808151630255,0.5723263048208677,3.1180621102899764
ETTh1,a6,27,0.5594919246655924,0.5788749235647696,3.3483915281413035
ETTh1,a6,28,0.5646021142601967,0.5839891710451671,3.3197630617487928
ETTh1,a6,29,0.5695002746993097,0.5891974732793611,3.3430555074210555
ETTh1,a6,30,0.5748420625925064,0.5949065665404002,3.372715158377937
ETTh1,a6,31,0.580849185105293,0.5997962759387109,3.158921052613184
ETTh1,a6,32,0.5855871280655265,0.6044832020998001,3.1259882770330316
ETTh1,a6,33,0.5910180707772573,0.6088194395556594,2.923915962899315
ETTh1,a6,34,0.5958307534456253,0.6147958338260651,3.0847769839971395
ETTh1,a6,35,0.6007869490555354,0.6192152568272182,2.9760745667196775
ETTh1,a6,36,0.6046283021569252,0.6242234094275368,3.139117657984336
ETTh1,a6,37,0.6093728614820016,0.6285711188574095,3.05426972373557
ETTh1,a6,38,0.6134747180499529,0.6331037957417337,3.1004517464286674
ETTh1,a6,39,0.61801000054066,0.6372031080417144,3.012086296948502
ETTh1,a6,40,0.6220126442611218,0.6405046880245209,2.887105138985513
ETTh1,a6,41,0.6256721971965418,0.6448652555302876,2.9762897239614783
ETTh1,a6,42,0.6296924742914382,0.6484358935129075,2.89055855929361
ETTh1,a6,43,0.6334909526414649,0.6527901943339858,2.956423343982828
ETTh1,a6,44,0.6377101411873644,0.6566004129973325,2.87698140848488
ETTh1,a6,45,0.6423831244309743,0.6596600333849589,2.6190625594414763
ETTh1,a6,46,0.6460644129825674,0.6633997572504956,2.6131068150786807
ETTh1,a6,47,0.6488915548679677,0.6668424441459331,2.691923622371728
ETTh1,a6,48,0.6528098614265522,0.6703490267197291,2.6164228773483345
ETTh1,a6,49,0.6567131846534963,0.6738424288983248,2.5420251842605657
ETTh1,a6,50,0.660966255068779,0.6772391200065613,2.4028241217997848
ETTh1,a6,51,0.6650948191390318,0.6809499661127726,2.3283864839953594
