dataset,reference,horizon_bin,start_horizon,end_horizon,direct_mse_mean,reference_mse_mean,direct_gain_percent
ETTh1,a6,h1_48,1,48,0.5420453336812776,0.5617195764261365,3.5025025956961553
ETTh1,a6,h49_96,49,96,0.7424509349532611,0.7508969203986133,1.1247862677168374
ETTh1,a6,h97_144,97,144,0.8886943959709457,0.8857854516383531,-0.3284028121270488
ETTh1,a6,h145_192,145,192,1.014194684915885,1.0044202932408048,-0.9731376138909509
ETTh1,a6,h193_288,193,288,1.159739780479467,1.1416931204764948,-1.5806927167468787
ETTh1,a6,h289_336,289,336,1.2588422400279315,1.2382169483736178,-1.6657251931016415
ETTh1,a6,h337_512,337,512,1.3342319333618795,1.3179353221579646,-1.2365258696634074
ETTh1,a6,h513_720,513,720,1.3927448320020344,1.384455952495245,-0.5987102364542585
ETTh1,pcsd_equal,h1_48,1,48,0.5420453336812776,0.5053512242583071,-7.261110226224465
ETTh1,pcsd_equal,h49_96,49,96,0.7424509349532611,0.7325874018098635,-1.3463967738224447
ETTh1,pcsd_equal,h97_144,97,144,0.8886943959709457,0.8880134971519383,-0.07667662948718235
ETTh1,pcsd_equal,h145_192,145,192,1.014194684915885,1.0176809940344604,0.3425738653872745
ETTh1,pcsd_equal,h193_288,193,288,1.159739780479467,1.1654703425630388,0.49169523018230965
ETTh1,pcsd_equal,h289_336,289,336,1.2588422400279315,1.2651748388324586,0.5005315162899482
ETTh1,pcsd_equal,h337_512,337,512,1.3342319333618795,1.343221354025046,0.6692434300742067
ETTh1,pcsd_equal,h513_720,513,720,1.3927448320020344,1.4083662723611268,1.1091887576165194
ETTh1,pcsd_static,h1_48,1,48,0.5420453336812776,0.5050294719139267,-7.329445869182782
ETTh1,pcsd_static,h49_96,49,96,0.7424509349532611,0.7297290739371165,-1.7433677059769837
ETTh1,pcsd_static,h97_144,97,144,0.8886943959709457,0.8841966121780214,-0.5086859337591232
ETTh1,pcsd_static,h145_192,145,192,1.014194684915885,1.0130852609432992,-0.10950943769063581
ETTh1,pcsd_static,h193_288,193,288,1.159739780479467,1.160964071069206,0.105454649308101
ETTh1,pcsd_static,h289_336,289,336,1.2588422400279315,1.2607593340692238,0.15205868316712223
ETTh1,pcsd_static,h337_512,337,512,1.3342319333618795,1.3396387920281412,0.4036057106166613
ETTh1,pcsd_static,h513_720,513,720,1.3927448320020344,1.4046987284781023,0.8509936140555285
ETTh1,dense_matched,h1_48,1,48,0.5420453336812776,0.6333011404464336,14.409544044216771
ETTh1,dense_matched,h49_96,49,96,0.7424509349532611,0.8048983418632955,7.7584216120351375
ETTh1,dense_matched,h97_144,97,144,0.8886943959709457,0.9359879713080584,5.052797342151649
ETTh1,dense_matched,h145_192,145,192,1.014194684915885,1.057720722850375,4.115078488506397
ETTh1,dense_matched,h193_288,193,288,1.159739780479467,1.1992164996203338,3.2918759167644085
