reference,dataset,direct_gain_fraction,direct_gain_percent,dataset_wins
a6,ETTh1,-0.007800931789617049,-0.7800931789617049,
a6,ETTh2,-0.02681705936278811,-2.681705936278811,
a6,ETTm1,-0.0234078102547699,-2.34078102547699,
a6,ETTm2,-0.019042958638975316,-1.9042958638975316,
a6,Weather,-0.002098253662877081,-0.2098253662877081,
a6,macro,-0.015833402741805492,-1.5833402741805491,0
pcsd_equal,ETTh1,0.004203984098626434,0.42039840986264343,
pcsd_equal,ETTh2,-0.021873399242331892,-2.1873399242331892,
pcsd_equal,ETTm1,-0.014344512810885002,-1.4344512810885002,
pcsd_equal,ETTm2,0.02655802928195905,2.655802928195905,
pcsd_equal,Weather,0.003983650842432462,0.39836508424324624,
pcsd_equal,macro,-0.00029444956603978943,-0.029444956603978945,3
pcsd_static,ETTh1,0.0011655405622382764,0.11655405622382764,
pcsd_static,ETTh2,-0.02235709968447508,-2.235709968447508,
pcsd_static,ETTm1,-0.015220269399432107,-1.5220269399432107,
pcsd_static,ETTm2,0.002161777399209308,0.2161777399209308,
pcsd_static,Weather,0.002921309599175359,0.2921309599175359,
pcsd_static,macro,-0.006265748304656848,-0.6265748304656849,3
dense_matched,ETTh1,0.030209604698895776,3.0209604698895776,
dense_matched,ETTh2,0.057909177439696036,5.790917743969604,
dense_matched,ETTm1,0.0004600807301337051,0.04600807301337051,
dense_matched,ETTm2,0.012141947338051629,1.2141947338051629,
dense_matched,Weather,0.016740998323835576,1.6740998323835576,
dense_matched,macro,0.023492361706122546,2.3492361706122544,5
pcsd_random,ETTh1,0.002805626748981882,0.2805626748981882,
pcsd_random,ETTh2,-0.007505958014370373,-0.7505958014370373,
pcsd_random,ETTm1,-0.004475572472477651,-0.44755724724776513,
pcsd_random,ETTm2,0.024588333599844248,2.4588333599844248,
pcsd_random,Weather,0.007083389375313165,0.7083389375313165,
pcsd_random,macro,0.004499163847458254,0.4499163847458254,3
