dataset,scope,direct_run_arm_mse,independently_trained_fixed_arm_mse,direct_arm_degradation_percent
ETTh1,1,3.9610464463179187,1.3322757682786166,197.31430538857865
ETTh1,48,3.8880465996179767,1.3323664941526974,191.81509867452303
ETTh1,144,3.5416718752159064,1.3242193623313174,167.45356365887258
ETTh1,360,1.8883536361514244,1.3261242324085636,42.39643541704352
ETTh1,720,1.5328853824156732,1.3013458870992618,17.792310070039854
ETTh2,1,0.6774487843305468,0.5239320250028998,29.300892482530983
ETTh2,48,0.6702302098278983,0.5234418136815644,28.042925175181455
ETTh2,144,0.6489021821392764,0.5213461734678342,24.466662490870306
ETTh2,360,0.5623214967404754,0.5127605293885563,9.665519187098571
ETTh2,720,0.5970176474033275,0.5157512067781154,15.756907508347195
ETTm1,1,2.122638543658081,0.7971444304842771,166.28029532471885
ETTm1,48,2.0857476491998024,0.7972114542931541,161.63041661877853
ETTm1,144,1.8489127198657056,0.7966161680990712,132.09580647574373
ETTm1,360,1.1148436102918593,0.777916052312798,43.31155745884823
ETTm1,720,1.0125896092210125,0.7806207035981838,29.715956104365926
ETTm2,1,1.1807630520254275,0.23972923205832247,392.54028884477714
ETTm2,48,1.1546224148648143,0.24013099382268469,380.830232068002
ETTm2,144,1.0235034121428657,0.24022905233999825,326.05313644341913
ETTm2,360,0.45315329502479523,0.238565081665149,89.94954830013353
ETTm2,720,0.2851360001291551,0.23373299661867716,21.992189487194725
Weather,1,2.6179028698140985,0.5432811412824066,381.86890191597297
Weather,48,2.574833476779459,0.542873195064134,374.29740502757244
Weather,144,2.280558274819572,0.5432830105486565,319.77353065328833
Weather,360,1.0080735105692724,0.5412118587544983,86.2622731307426
Weather,720,0.6859061473173937,0.539911332519226,27.04051684134061
