dataset,arm,scope,dense_mse_auc,a6_dense_mse_auc,gain_over_a6_percent,is_best_fixed_scope
ETTh1,pcsd_fixed_1,1,1.200641797849693,1.1704109382059409,-2.582926958123899,False
ETTh1,pcsd_fixed_48,48,1.1997906117375363,1.1704109382059409,-2.5102015516558662,False
ETTh1,pcsd_fixed_144,144,1.1873373253188744,1.1704109382059409,-1.4461918083984227,False
ETTh1,pcsd_fixed_360,360,1.1905822117548597,1.1704109382059409,-1.7234351534545889,False
ETTh1,pcsd_fixed_720,720,1.17175265754192,1.1704109382059409,-0.11463660259667385,True
ETTh2,pcsd_fixed_1,1,0.4382088876079965,0.4284055871073221,-2.288322280497823,False
ETTh2,pcsd_fixed_48,48,0.4377970748565874,0.4284055871073221,-2.1921954409321653,False
ETTh2,pcsd_fixed_144,144,0.4359582860427108,0.4284055871073221,-1.762978626489442,False
ETTh2,pcsd_fixed_360,360,0.429841125191643,0.4284055871073221,-0.33508855335291354,True
ETTh2,pcsd_fixed_720,720,0.43411119678651366,0.4284055871073221,-1.3318242924227341,False
ETTm1,pcsd_fixed_1,1,0.6749932776451836,0.6665586695235278,-1.2653962070113156,False
ETTm1,pcsd_fixed_48,48,0.6753102602351043,0.6665586695235278,-1.3129512992205772,False
ETTm1,pcsd_fixed_144,144,0.6740068683072193,0.6665586695235278,-1.117410833320287,False
ETTm1,pcsd_fixed_360,360,0.6534791657618054,0.6665586695235278,1.9622434392867372,True
ETTm1,pcsd_fixed_720,720,0.6584530879956161,0.6665586695235278,1.2160342215195907,False
ETTm2,pcsd_fixed_1,1,0.20425267904245126,0.194697267471799,-4.907830343348962,False
ETTm2,pcsd_fixed_48,48,0.204670706941537,0.194697267471799,-5.12253695146625,False
ETTm2,pcsd_fixed_144,144,0.20367517799724005,0.194697267471799,-4.611215474167585,False
ETTm2,pcsd_fixed_360,360,0.20302181271327463,0.194697267471799,-4.275635374636888,False
ETTm2,pcsd_fixed_720,720,0.19758121197599418,0.194697267471799,-1.4812454954525212,True
Weather,pcsd_fixed_1,1,0.49811770780497105,0.4971091556465374,-0.20288344058396746,False
Weather,pcsd_fixed_48,48,0.4978009876000306,0.4971091556465374,-0.13917103429597066,False
Weather,pcsd_fixed_144,144,0.4978072830513063,0.4971091556465374,-0.14043744655254375,False
Weather,pcsd_fixed_360,360,0.4968218363046702,0.4971091556465374,0.05779803864073285,False
Weather,pcsd_fixed_720,720,0.49671855013461974,0.4971091556465374,0.07857540089151183,True
