epoch,train_loss,mse,mae
1,0.6672603358895006,0.5216376185417175,0.3823678195476532
2,0.5264135335742588,0.49448490142822266,0.35753390192985535
3,0.49986161218142844,0.48137667775154114,0.34759271144866943
4,0.4852117422810743,0.47263914346694946,0.33839115500450134
5,0.4769131610511054,0.47586095333099365,0.33415013551712036
6,0.4706810189174934,0.48091644048690796,0.33554455637931824
7,0.46612797331222344,0.4829432964324951,0.339077889919281
8,0.46283868091626906,0.4727172255516052,0.3292272686958313
9,0.45859202469738436,0.47314026951789856,0.3298285901546478
10,0.45536686343626237,0.4770529270172119,0.33296287059783936
11,0.4518180327935958,0.47704800963401794,0.33358028531074524
12,0.44900860647920154,0.47493788599967957,0.3346426486968994
13,0.44629202552244696,0.4808652400970459,0.3404105603694916
14,0.44357413976964816,0.48519980907440186,0.3397846817970276
