dataset,region,highest_utilization_scope,lowest_mse_scope,lowest_mae_scope,utilization_mse_agreement,validation_series_rows
Weather,1-48,1,360,144,False,95571
Weather,49-96,1,360,360,False,95571
Weather,97-144,1,360,360,False,95571
Weather,145-192,144,360,360,False,95571
Weather,193-288,144,360,360,False,95571
Weather,289-336,144,360,360,False,95571
Weather,337-512,1,720,720,False,95571
Weather,513-720,144,720,720,False,95571
ETTm1,1-48,1,360,360,False,75607
ETTm1,49-96,1,48,48,False,75607
ETTm1,97-144,1,48,48,False,75607
ETTm1,145-192,1,48,48,False,75607
ETTm1,193-288,144,360,360,False,75607
ETTm1,289-336,1,360,360,False,75607
ETTm1,337-512,1,720,720,False,75607
ETTm1,513-720,720,720,720,True,75607
ETTh1,1-48,360,360,360,True,15127
ETTh1,49-96,360,720,720,False,15127
ETTh1,97-144,144,720,720,False,15127
ETTh1,145-192,144,720,720,False,15127
ETTh1,193-288,144,720,720,False,15127
ETTh1,289-336,144,720,720,False,15127
ETTh1,337-512,144,360,360,False,15127
ETTh1,513-720,144,144,144,True,15127
ETTh2,1-48,720,360,144,False,15127
ETTh2,49-96,720,360,720,False,15127
ETTh2,97-144,720,360,720,False,15127
ETTh2,145-192,720,360,720,False,15127
ETTh2,193-288,720,360,360,False,15127
ETTh2,289-336,720,360,360,False,15127
ETTh2,337-512,720,720,720,True,15127
ETTh2,513-720,720,1,360,False,15127
ETTm2,1-48,720,720,720,True,75607
ETTm2,49-96,720,720,720,True,75607
ETTm2,97-144,720,720,720,True,75607
ETTm2,145-192,144,720,720,False,75607
ETTm2,193-288,144,720,720,False,75607
ETTm2,289-336,144,144,720,True,75607
ETTm2,337-512,1,720,720,False,75607
ETTm2,513-720,48,720,720,False,75607
