dataset,horizon,max_abs_chpd,tolerance,pass,checkpoint_sha256,evaluation_split
Weather,96,0.0,2e-05,True,fb700182522d778b97cb1f082e309986022a507c61c25106be47e6cbc4df7ed6,val
Weather,192,0.0,2e-05,True,fb700182522d778b97cb1f082e309986022a507c61c25106be47e6cbc4df7ed6,val
Weather,336,0.0,2e-05,True,fb700182522d778b97cb1f082e309986022a507c61c25106be47e6cbc4df7ed6,val
Weather,720,0.0,2e-05,True,fb700182522d778b97cb1f082e309986022a507c61c25106be47e6cbc4df7ed6,val
ETTm1,96,0.0,2e-05,True,9b99248d53cbbe66796a1fa66cd7bb6d8f03ffc7ad54ff5420f143f5812b3a26,val
ETTm1,192,0.0,2e-05,True,9b99248d53cbbe66796a1fa66cd7bb6d8f03ffc7ad54ff5420f143f5812b3a26,val
ETTm1,336,0.0,2e-05,True,9b99248d53cbbe66796a1fa66cd7bb6d8f03ffc7ad54ff5420f143f5812b3a26,val
ETTm1,720,0.0,2e-05,True,9b99248d53cbbe66796a1fa66cd7bb6d8f03ffc7ad54ff5420f143f5812b3a26,val
ETTh1,96,0.0,2e-05,True,ebcd73b95f2bfb7c9b5e5dc16920aafbb63964668f7b4670f1327ab7276368ff,val
ETTh1,192,0.0,2e-05,True,ebcd73b95f2bfb7c9b5e5dc16920aafbb63964668f7b4670f1327ab7276368ff,val
ETTh1,336,0.0,2e-05,True,ebcd73b95f2bfb7c9b5e5dc16920aafbb63964668f7b4670f1327ab7276368ff,val
ETTh1,720,0.0,2e-05,True,ebcd73b95f2bfb7c9b5e5dc16920aafbb63964668f7b4670f1327ab7276368ff,val
ETTh2,96,0.0,2e-05,True,dff40f86680125244fa0ed1a3eb28d9afa00f23f60304277d97b9d6f60db8d0f,val
ETTh2,192,0.0,2e-05,True,dff40f86680125244fa0ed1a3eb28d9afa00f23f60304277d97b9d6f60db8d0f,val
ETTh2,336,0.0,2e-05,True,dff40f86680125244fa0ed1a3eb28d9afa00f23f60304277d97b9d6f60db8d0f,val
ETTh2,720,0.0,2e-05,True,dff40f86680125244fa0ed1a3eb28d9afa00f23f60304277d97b9d6f60db8d0f,val
ETTm2,96,0.0,2e-05,True,4eba8291d320e23bf26988c7aa0ebbe864e64fde38ddde14c11696801cbba354,val
ETTm2,192,0.0,2e-05,True,4eba8291d320e23bf26988c7aa0ebbe864e64fde38ddde14c11696801cbba354,val
ETTm2,336,0.0,2e-05,True,4eba8291d320e23bf26988c7aa0ebbe864e64fde38ddde14c11696801cbba354,val
ETTm2,720,0.0,2e-05,True,4eba8291d320e23bf26988c7aa0ebbe864e64fde38ddde14c11696801cbba354,val
