dataset,variant,mean_relative_mse_vs_uniform_a6st_pct,wins_vs_uniform_a6st,horizon_count
ALL,a7dg_abs004_t001_w02_d0999_wu1,-0.3978789822051132,11,12
ALL,a7dg_ratio008_t002_w02_d0999_wu1,-0.2643808340527391,11,12
ALL,a7dg_ratio010_t002_w02_d0999_wu1,-0.3643652886095093,11,12
ETTh2,a7dg_abs004_t001_w02_d0999_wu1,-0.045172797304107726,4,4
ETTh2,a7dg_ratio008_t002_w02_d0999_wu1,-0.01151416566904373,4,4
ETTh2,a7dg_ratio010_t002_w02_d0999_wu1,-0.02784305942452603,4,4
ETTm1,a7dg_abs004_t001_w02_d0999_wu1,-0.5255068632439935,3,4
ETTm1,a7dg_ratio008_t002_w02_d0999_wu1,-0.37541097827573366,3,4
ETTm1,a7dg_ratio010_t002_w02_d0999_wu1,-0.5116540017194582,3,4
Weather,a7dg_abs004_t001_w02_d0999_wu1,-0.6229572860672383,4,4
Weather,a7dg_ratio008_t002_w02_d0999_wu1,-0.40621735821343985,4,4
Weather,a7dg_ratio010_t002_w02_d0999_wu1,-0.5535988046845436,4,4
