dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_observed_gap
ETTh2,1-96,0.25189346075057983,0.2497519701719284,0.857446921110272,False,False
ETTh2,97-192,0.3362131714820862,0.33811911940574646,-0.5636912597578148,True,False
ETTh2,193-336,0.3731600344181061,0.36967068910598755,0.9439064050647872,False,True
ETTh2,337-720,0.4821327030658722,0.4840433597564697,-0.3947284168010934,True,True
ETTm1,1-96,0.2809886038303375,0.2841739356517792,-1.1209092115136432,True,False
ETTm1,97-192,0.3493490219116211,0.3520488142967224,-0.7668801244209877,True,False
ETTm1,193-336,0.4044487774372101,0.40565091371536255,-0.2963474843781566,True,False
ETTm1,337-720,0.4686942398548126,0.4712492525577545,-0.5421786218385072,True,True
Weather,1-96,0.14792785048484802,0.14746259152889252,0.3155098192237693,False,False
Weather,97-192,0.2324339598417282,0.2326873242855072,-0.10888622513365309,True,False
Weather,193-336,0.3114694654941559,0.3130928874015808,-0.5185112702169703,True,False
Weather,337-720,0.3859905004501343,0.3891408443450928,-0.809563925436918,True,False
