dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae
ETTh2,96,720,1.4641940275245818e-14,6.472923530509433e-08
ETTm1,96,720,4.861175277961517e-14,1.2460468212793785e-07
Weather,96,720,9.415359049596943e-15,5.421468429744891e-08
