config,arm,dataset,target_horizon,status,mse,mae
a6_clean,a6_clean,ETTh2,96,ok,0.24416223168373108,0.31473836302757263
a6_clean,a6_clean,ETTh2,192,ok,0.2861934006214142,0.3473576307296753
a6_clean,a6_clean,ETTh2,336,ok,0.31436556577682495,0.37210166454315186
a6_clean,a6_clean,ETTh2,720,ok,0.3950280547142029,0.4309396743774414
a6_clean,a6_clean,ETTm1,96,ok,0.27276551723480225,0.33084431290626526
a6_clean,a6_clean,ETTm1,192,ok,0.3091461658477783,0.35286661982536316
a6_clean,a6_clean,ETTm1,336,ok,0.34693026542663574,0.3737157881259918
a6_clean,a6_clean,ETTm1,720,ok,0.40836983919143677,0.4053221046924591
a6_clean,a6_clean,Weather,96,ok,0.14136819541454315,0.18159954249858856
a6_clean,a6_clean,Weather,192,ok,0.18240033090114594,0.22314205765724182
a6_clean,a6_clean,Weather,336,ok,0.2316502183675766,0.26356613636016846
a6_clean,a6_clean,Weather,720,ok,0.3030458390712738,0.3143439292907715
l48_r32,stbo_shared,ETTh2,96,ok,0.24583452939987183,0.31674379110336304
l48_r32,stbo_shared,ETTh2,192,ok,0.2874946594238281,0.34873390197753906
l48_r32,stbo_shared,ETTh2,336,ok,0.3164600729942322,0.37395262718200684
l48_r32,stbo_shared,ETTh2,720,ok,0.4015378952026367,0.4334690272808075
l48_r32,stbo_shared,ETTm1,96,ok,0.2741909623146057,0.33183690905570984
l48_r32,stbo_shared,ETTm1,192,ok,0.3105483055114746,0.3537096083164215
l48_r32,stbo_shared,ETTm1,336,ok,0.3486526310443878,0.3747764229774475
l48_r32,stbo_shared,ETTm1,720,ok,0.4088747799396515,0.4060046374797821
l48_r32,stbo_shared,Weather,96,ok,0.14143246412277222,0.18167893588542938
l48_r32,stbo_shared,Weather,192,ok,0.1826334148645401,0.223366379737854
l48_r32,stbo_shared,Weather,336,ok,0.232025608420372,0.2638125717639923
l48_r32,stbo_shared,Weather,720,ok,0.30397331714630127,0.31462085247039795
l48_r32,stbo_bank4,ETTh2,96,ok,0.248702734708786,0.31898149847984314
l48_r32,stbo_bank4,ETTh2,192,ok,0.29121601581573486,0.35153359174728394
l48_r32,stbo_bank4,ETTh2,336,ok,0.32164105772972107,0.3778762221336365
l48_r32,stbo_bank4,ETTh2,720,ok,0.4109322428703308,0.43999314308166504
l48_r32,stbo_bank4,ETTm1,96,ok,0.2745465338230133,0.33156561851501465
l48_r32,stbo_bank4,ETTm1,192,ok,0.3114936947822571,0.35380539298057556
l48_r32,stbo_bank4,ETTm1,336,ok,0.34971684217453003,0.3748440742492676
l48_r32,stbo_bank4,ETTm1,720,ok,0.4100237488746643,0.40586739778518677
l48_r32,stbo_bank4,Weather,96,ok,0.14141464233398438,0.18169519305229187
l48_r32,stbo_bank4,Weather,192,ok,0.1823892891407013,0.22311361134052277
l48_r32,stbo_bank4,Weather,336,ok,0.23174941539764404,0.2635509967803955
l48_r32,stbo_bank4,Weather,720,ok,0.30402714014053345,0.3147503733634949
l48_r32,stbo_dct,ETTh2,96,ok,0.24858586490154266,0.31912723183631897
l48_r32,stbo_dct,ETTh2,192,ok,0.289305180311203,0.34963706135749817
l48_r32,stbo_dct,ETTh2,336,ok,0.31980228424072266,0.3753042221069336
l48_r32,stbo_dct,ETTh2,720,ok,0.40735554695129395,0.43663063645362854
l48_r32,stbo_dct,ETTm1,96,ok,0.2749953866004944,0.33192315697669983
l48_r32,stbo_dct,ETTm1,192,ok,0.31107258796691895,0.3535393178462982
l48_r32,stbo_dct,ETTm1,336,ok,0.3490331470966339,0.37439239025115967
l48_r32,stbo_dct,ETTm1,720,ok,0.40806812047958374,0.40516895055770874
l48_r32,stbo_dct,Weather,96,ok,0.14153119921684265,0.18180164694786072
l48_r32,stbo_dct,Weather,192,ok,0.18257436156272888,0.22326938807964325
l48_r32,stbo_dct,Weather,336,ok,0.2322750985622406,0.2637217044830322
l48_r32,stbo_dct,Weather,720,ok,0.3045770823955536,0.3148159980773926
l48_r32,stbo_independent,ETTh2,96,ok,0.24643005430698395,0.3166138827800751
l48_r32,stbo_independent,ETTh2,192,ok,0.2885763943195343,0.34899604320526123
l48_r32,stbo_independent,ETTh2,336,ok,0.31609028577804565,0.37343132495880127
l48_r32,stbo_independent,ETTh2,720,ok,0.40095075964927673,0.4333471655845642
l48_r32,stbo_independent,ETTm1,96,ok,0.2746913731098175,0.33236175775527954
l48_r32,stbo_independent,ETTm1,192,ok,0.31090429425239563,0.3541737198829651
l48_r32,stbo_independent,ETTm1,336,ok,0.34916529059410095,0.3754100799560547
l48_r32,stbo_independent,ETTm1,720,ok,0.4094148278236389,0.40668970346450806
l48_r32,stbo_independent,Weather,96,ok,0.14134864509105682,0.18156342208385468
