config,candidate_arm,baseline,comparison,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTh2,96,ok,0.24583452939987183,0.24416223168373108,0.6849125291035651,0.31674379110336304,0.31473836302757263,0.6371730654310959,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTh2,192,ok,0.2874946594238281,0.2861934006214142,0.4546781300996061,0.34873390197753906,0.3473576307296753,0.3962116061687615,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTh2,336,ok,0.3164600729942322,0.31436556577682495,0.6662648347733446,0.37395262718200684,0.37210166454315186,0.4974346570385535,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTh2,720,ok,0.4015378952026367,0.3950280547142029,1.647943838607513,0.4334690272808075,0.4309396743774414,0.5869389740037478,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTm1,96,ok,0.2741909623146057,0.27276551723480225,0.5225899132170753,0.33183690905570984,0.33084431290626526,0.3000191058825319,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTm1,192,ok,0.3105483055114746,0.3091461658477783,0.4535523382123152,0.3537096083164215,0.35286661982536316,0.23889720469325582,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTm1,336,ok,0.3486526310443878,0.34693026542663574,0.4964587380792418,0.3747764229774475,0.3737157881259918,0.2838078789162868,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,ETTm1,720,ok,0.4088747799396515,0.40836983919143677,0.123647904363966,0.4060046374797821,0.4053221046924591,0.16839268804274,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,Weather,96,ok,0.14143246412277222,0.14136819541454315,0.04546192871783816,0.18167893588542938,0.18159954249858856,0.04371893549315331,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,Weather,192,ok,0.1826334148645401,0.18240033090114594,0.12778702880780202,0.223366379737854,0.22314205765724182,0.10052882140074715,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,Weather,336,ok,0.232025608420372,0.2316502183675766,0.1620503772630899,0.2638125717639923,0.26356613636016846,0.09350040457667408,False
l48_r32,stbo_shared,a6_clean,l48_r32_stbo_shared_vs_a6_clean,Weather,720,ok,0.30397331714630127,0.3030458390712738,0.30605207379512667,0.31462085247039795,0.3143439292907715,0.08809560288034479,False
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTh2,96,ok,0.24583452939987183,0.24858586490154266,-1.1067948303338015,0.31674379110336304,0.31912723183631897,-0.7468622214535481,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTh2,192,ok,0.2874946594238281,0.289305180311203,-0.6258169609777875,0.34873390197753906,0.34963706135749817,-0.25831339974443646,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTh2,336,ok,0.3164600729942322,0.31980228424072266,-1.0450867336440628,0.37395262718200684,0.3753042221069336,-0.360133152070341,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTh2,720,ok,0.4015378952026367,0.40735554695129395,-1.428150860396371,0.4334690272808075,0.43663063645362854,-0.7240923812630418,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTm1,96,ok,0.2741909623146057,0.2749953866004944,-0.29252282950379405,0.33183690905570984,0.33192315697669983,-0.025984303648940443,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTm1,192,ok,0.3105483055114746,0.31107258796691895,-0.1685402300700578,0.3537096083164215,0.3535393178462982,0.04816733571832987,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTm1,336,ok,0.3486526310443878,0.3490331470966339,-0.10902003302876162,0.3747764229774475,0.37439239025115967,0.10257492841405647,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,ETTm1,720,ok,0.4088747799396515,0.40806812047958374,0.19767764732998572,0.4060046374797821,0.40516895055770874,0.2062564075857809,False
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,Weather,96,ok,0.14143246412277222,0.14153119921684265,-0.06976206985935818,0.18167893588542938,0.18180164694786072,-0.06749722265526614,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,Weather,192,ok,0.1826334148645401,0.18257436156272888,0.03234479436529103,0.223366379737854,0.22326938807964325,0.04344153896107539,False
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,Weather,336,ok,0.232025608420372,0.2322750985622406,-0.10741148896843411,0.2638125717639923,0.2637217044830322,0.034455746120021224,True
l48_r32,stbo_shared,stbo_dct,l48_r32_stbo_shared_vs_stbo_dct,Weather,720,ok,0.30397331714630127,0.3045770823955536,-0.19823068909308184,0.31462085247039795,0.3148159980773926,-0.06198719511918416,True
l48_r32,stbo_shared,stbo_independent,l48_r32_stbo_shared_vs_stbo_independent,ETTh2,96,ok,0.24583452939987183,0.24643005430698395,-0.24166082695833424,0.31674379110336304,0.3166138827800751,0.04103052024986287,True
l48_r32,stbo_shared,stbo_independent,l48_r32_stbo_shared_vs_stbo_independent,ETTh2,192,ok,0.2874946594238281,0.2885763943195343,-0.3748521767544144,0.34873390197753906,0.34899604320526123,-0.07511295122850647,True
