config,arm,dataset,status,readout_mode,total_parameters,trainable_parameters,basis_rank,stbo_tile_len,stbo_tile_count,stbo_rank,stbo_coeff_l2,stbo_shared_basis_l2,stbo_bank_count,stbo_basis_bank_l2,stbo_tile_bank_entropy_mean,stbo_tile_basis_l2,stbo_dct_basis_l2
a6_clean,a6_clean,ETTh2,ok,learned-basis-forecast-operator,1690016,1690016,,,,,,,,,,,
a6_clean,a6_clean,ETTm1,ok,learned-basis-forecast-operator,884640,884640,,,,,,,,,,,
a6_clean,a6_clean,Weather,ok,learned-basis-forecast-operator,6250656,6250656,,,,,,,,,,,
l48_r32,stbo_shared,ETTh2,ok,subspace-tiled-basis-operator-shared,1851520,1851520,,48,15,32,15.169370651245117,5.758637428283691,,,,,
l48_r32,stbo_shared,ETTm1,ok,subspace-tiled-basis-operator-shared,759424,759424,,48,15,32,11.36711597442627,6.433032512664795,,,,,
l48_r32,stbo_shared,Weather,ok,subspace-tiled-basis-operator-shared,7444352,7444352,,48,15,32,11.097046852111816,5.986687183380127,,,,,
l48_r32,stbo_bank4,ETTh2,ok,subspace-tiled-basis-operator-bank,1856188,1856188,,48,15,32,17.86068344116211,,4,13.444693565368652,0.9994655666602792,,
l48_r32,stbo_bank4,ETTm1,ok,subspace-tiled-basis-operator-bank,764092,764092,,48,15,32,12.611392974853516,,4,13.6077241897583,0.9997254324457329,,
l48_r32,stbo_bank4,Weather,ok,subspace-tiled-basis-operator-bank,7449020,7449020,,48,15,32,12.365662574768066,,4,13.270379066467285,0.9999143553877057,,
l48_r32,stbo_dct,ETTh2,ok,subspace-tiled-basis-operator-dct,1849984,1849984,,48,15,32,12.133199691772461,,,,,,5.656854152679443
l48_r32,stbo_dct,ETTm1,ok,subspace-tiled-basis-operator-dct,757888,757888,,48,15,32,9.918706893920898,,,,,,5.656854152679443
l48_r32,stbo_dct,Weather,ok,subspace-tiled-basis-operator-dct,7442816,7442816,,48,15,32,8.928862571716309,,,,,,5.656854152679443
l48_r32,stbo_independent,ETTh2,ok,subspace-tiled-basis-operator-independent,1873024,1873024,,48,15,32,14.761137008666992,,,,,24.16861915588379,
l48_r32,stbo_independent,ETTm1,ok,subspace-tiled-basis-operator-independent,780928,780928,,48,15,32,11.385910987854004,,,,,25.519203186035156,
l48_r32,stbo_independent,Weather,ok,subspace-tiled-basis-operator-independent,7465856,7465856,,48,15,32,11.160067558288574,,,,,24.459091186523438,
l120_r64,stbo_shared,ETTh2,ok,subspace-tiled-basis-operator-shared,1710112,1710112,,120,6,64,13.286705017089844,9.05286693572998,,,,,
l120_r64,stbo_shared,ETTm1,ok,subspace-tiled-basis-operator-shared,740896,740896,,120,6,64,10.000198364257812,10.419960021972656,,,,,
l120_r64,stbo_shared,Weather,ok,subspace-tiled-basis-operator-shared,6860576,6860576,,120,6,64,9.827524185180664,9.848023414611816,,,,,
l120_r64,stbo_bank4,ETTh2,ok,subspace-tiled-basis-operator-bank,1733176,1733176,,120,6,64,15.572721481323242,,4,21.27084732055664,0.9999061002204642,,
l120_r64,stbo_bank4,ETTm1,ok,subspace-tiled-basis-operator-bank,763960,763960,,120,6,64,11.154691696166992,,4,21.848318099975586,0.999861986670518,,
