config,comparison,dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
l48_r32,l48_r32_stbo_bank4_vs_a6_clean,ETTh2,4,0,2.4887574761457643,1.5507744947606927
l48_r32,l48_r32_stbo_bank4_vs_a6_clean,ETTm1,4,0,0.6551297811583257,0.23012626479589904
l48_r32,l48_r32_stbo_bank4_vs_a6_clean,Weather,4,1,0.09835908748578037,0.040869525546863295
l48_r32,l48_r32_stbo_bank4_vs_a6_clean,ALL,12,1,1.0807487815966235,0.6072567617011517
l48_r32,l48_r32_stbo_bank4_vs_stbo_dct,ETTh2,4,0,0.5401262878286961,0.4880440050207768
l48_r32,l48_r32_stbo_bank4_vs_stbo_dct,ETTm1,4,1,0.16181845715565746,0.06514297700006555
l48_r32,l48_r32_stbo_bank4_vs_stbo_dct,Weather,4,4,-0.1476502376849459,-0.053475346554593406
l48_r32,l48_r32_stbo_bank4_vs_stbo_dct,ALL,12,5,0.1847648357664692,0.16657054515541633
l48_r32,l48_r32_stbo_bank4_vs_stbo_independent,ETTh2,4,0,1.5206178606588683,1.0497038682702131
l48_r32,l48_r32_stbo_bank4_vs_stbo_independent,ETTm1,4,1,0.1108851700480945,-0.1741252301443369
l48_r32,l48_r32_stbo_bank4_vs_stbo_independent,Weather,4,2,-0.018860096135420168,-0.015599416432884872
l48_r32,l48_r32_stbo_bank4_vs_stbo_independent,ALL,12,3,0.5375476448571809,0.28665974056433047
l48_r32,l48_r32_stbo_dct_vs_a6_clean,ETTh2,4,0,1.937286863079024,1.0579827619648208
l48_r32,l48_r32_stbo_dct_vs_a6_clean,ETTm1,4,1,0.49322570920157516,0.16499691061352129
l48_r32,l48_r32_stbo_dct_vs_a6_clean,Weather,4,0,0.2464379533103911,0.094388494822506
l48_r32,l48_r32_stbo_dct_vs_a6_clean,ALL,12,1,0.8923168418636634,0.43912272246694933
l48_r32,l48_r32_stbo_dct_vs_stbo_independent,ETTh2,4,0,0.9747772945631006,0.5591833742846664
l48_r32,l48_r32_stbo_dct_vs_stbo_independent,ETTm1,4,2,-0.050493814842811346,-0.23902712840674356
l48_r32,l48_r32_stbo_dct_vs_stbo_independent,Weather,4,0,0.1289967337617437,0.037898680284548236
l48_r32,l48_r32_stbo_dct_vs_stbo_independent,ALL,12,2,0.351093404494011,0.119351642054157
l48_r32,l48_r32_stbo_independent_vs_a6_clean,ETTh2,4,0,0.9523542749345026,0.4958939182607258
l48_r32,l48_r32_stbo_independent_vs_a6_clean,ETTm1,4,0,0.5437185925511123,0.4049639095676627
l48_r32,l48_r32_stbo_independent_vs_a6_clean,Weather,4,1,0.11724399236103245,0.056498450461187066
l48_r32,l48_r32_stbo_independent_vs_a6_clean,ALL,12,1,0.5377722866155491,0.3191187594298585
l48_r32,l48_r32_stbo_independent_vs_stbo_dct,ETTh2,4,4,-0.96303495223245,-0.5554860233044828
l48_r32,l48_r32_stbo_independent_vs_stbo_dct,ETTm1,4,2,0.05080669423687956,0.2396861780990911
l48_r32,l48_r32_stbo_independent_vs_stbo_dct,Weather,4,4,-0.1288054507082026,-0.03785022050179776
l48_r32,l48_r32_stbo_independent_vs_stbo_dct,ALL,12,10,-0.347011236234591,-0.11788335523572983
l48_r32,l48_r32_stbo_shared_vs_a6_clean,ETTh2,4,0,0.8634498331460072,0.5294395756605397
l48_r32,l48_r32_stbo_shared_vs_a6_clean,ETTm1,4,0,0.39906222346814957,0.24777921938370362
