dataset,target_horizon,best_arm,best_mse,a6_clean,l48_r32:stbo_shared,l48_r32:stbo_bank4,l48_r32:stbo_dct,l48_r32:stbo_independent,l120_r64:stbo_shared,l120_r64:stbo_bank4,l120_r64:stbo_dct,l120_r64:stbo_independent,l144_r128:stbo_shared,l144_r128:stbo_bank4,l144_r128:stbo_dct,l144_r128:stbo_independent,l360_r256_capacity_probe:stbo_shared,l360_r256_capacity_probe:stbo_bank4,l360_r256_capacity_probe:stbo_dct,l360_r256_capacity_probe:stbo_independent
ETTh2,96,a6_clean,0.24416223168373108,0.24416223168373108,0.24583452939987183,0.248702734708786,0.24858586490154266,0.24643005430698395,0.24549271166324615,0.2508641481399536,0.24891254305839539,0.24645836651325226,0.24773792922496796,0.2516074478626251,0.24737508594989777,0.2462824583053589,0.24649831652641296,0.24951325356960297,0.25012221932411194,0.2442450374364853
ETTh2,192,l360_r256_capacity_probe:stbo_independent,0.28552576899528503,0.2861934006214142,0.2874946594238281,0.29121601581573486,0.289305180311203,0.2885763943195343,0.2884165048599243,0.29602861404418945,0.29091015458106995,0.2895892560482025,0.292058527469635,0.29603561758995056,0.289378821849823,0.289072185754776,0.2891748547554016,0.29390040040016174,0.2918500304222107,0.28552576899528503
ETTh2,336,l360_r256_capacity_probe:stbo_independent,0.3125750720500946,0.31436556577682495,0.3164600729942322,0.32164105772972107,0.31980228424072266,0.31609028577804565,0.31517380475997925,0.32410314679145813,0.32313278317451477,0.31766441464424133,0.3217282295227051,0.3257865607738495,0.32092952728271484,0.31764915585517883,0.31711646914482117,0.3216416835784912,0.323573499917984,0.3125750720500946
ETTh2,720,a6_clean,0.3950280547142029,0.3950280547142029,0.4015378952026367,0.4109322428703308,0.40735554695129395,0.40095075964927673,0.39854028820991516,0.41019314527511597,0.4108887016773224,0.40071341395378113,0.4055664837360382,0.4109601676464081,0.41014453768730164,0.40344083309173584,0.39916783571243286,0.407031387090683,0.413093626499176,0.3971388041973114
ETTm1,96,l360_r256_capacity_probe:stbo_shared,0.2723912000656128,0.27276551723480225,0.2741909623146057,0.2745465338230133,0.2749953866004944,0.2746913731098175,0.27465927600860596,0.27470168471336365,0.2753976285457611,0.27536457777023315,0.27324050664901733,0.2740662395954132,0.2754749655723572,0.27341723442077637,0.2723912000656128,0.2742535471916199,0.27548736333847046,0.2728317379951477
ETTm1,192,l360_r256_capacity_probe:stbo_shared,0.3089901804924011,0.3091461658477783,0.3105483055114746,0.3114936947822571,0.31107258796691895,0.31090429425239563,0.3108139932155609,0.31150180101394653,0.31159165501594543,0.31122976541519165,0.30949366092681885,0.3106270730495453,0.31107962131500244,0.3096504211425781,0.3089901804924011,0.3108445703983307,0.31122276186943054,0.3091312348842621
ETTm1,336,l360_r256_capacity_probe:stbo_shared,0.34685131907463074,0.34693026542663574,0.3486526310443878,0.34971684217453003,0.3490331470966339,0.34916529059410095,0.3490087687969208,0.3499101996421814,0.3496312201023102,0.34936174750328064,0.34762856364250183,0.34895482659339905,0.3488099277019501,0.34764161705970764,0.34685131907463074,0.348712682723999,0.3494322597980499,0.34696412086486816
ETTm1,720,l360_r256_capacity_probe:stbo_independent,0.40754854679107666,0.40836983919143677,0.4088747799396515,0.4100237488746643,0.40806812047958374,0.4094148278236389,0.40903010964393616,0.410445898771286,0.40869757533073425,0.4094070494174957,0.4081370234489441,0.4098109304904938,0.40775588154792786,0.4078851342201233,0.4076943099498749,0.4097040593624115,0.40816670656204224,0.40754854679107666
Weather,96,l360_r256_capacity_probe:stbo_bank4,0.14114971458911896,0.14136819541454315,0.14143246412277222,0.14141464233398438,0.14153119921684265,0.14134864509105682,0.14160090684890747,0.14139200747013092,0.14160765707492828,0.14160892367362976,0.14182287454605103,0.14130717515945435,0.14163054525852203,0.14151902496814728,0.14147032797336578,0.14114971458911896,0.14160828292369843,0.14153462648391724
Weather,192,l360_r256_capacity_probe:stbo_bank4,0.18219630420207977,0.18240033090114594,0.1826334148645401,0.1823892891407013,0.18257436156272888,0.18247704207897186,0.18265123665332794,0.18248705565929413,0.18249107897281647,0.18256054818630219,0.1828860193490982,0.18235816061496735,0.18270863592624664,0.1825951784849167,0.18255724012851715,0.18219630420207977,0.18268635869026184,0.1825915426015854
Weather,336,l360_r256_capacity_probe:stbo_bank4,0.231596902012825,0.2316502183675766,0.232025608420372,0.23174941539764404,0.2322750985622406,0.23195183277130127,0.23193512856960297,0.23187917470932007,0.23199225962162018,0.2318556308746338,0.23213472962379456,0.23176807165145874,0.232476606965065,0.2318892925977707,0.23183126747608185,0.231596902012825,0.23277999460697174,0.23187218606472015
Weather,720,a6_clean,0.3030458390712738,0.3030458390712738,0.30397331714630127,0.30402714014053345,0.3045770823955536,0.30398693680763245,0.3036886751651764,0.3041919767856598,0.3040352463722229,0.3036164939403534,0.30410176515579224,0.30422279238700867,0.304722398519516,0.30373165011405945,0.3035072982311249,0.303871750831604,0.3051225244998932,0.30383893847465515
