dataset,seed,hidden_rows,directions,synchronized_common_energy,private_response_energy,direction_null_common_p95,above_direction_null,random_init_common_median,random_init_common_p95,above_random_init,mean_pairwise_response_cosine,median_pairwise_response_distance,hidden_rms,all_finite
ETTh1,2021,32,64,0.24046178335453902,0.759538216645461,0.20347157037737992,1,0.20181858680627374,0.2033771136396162,1,0.050577229193173756,1.3770975441658473,0.964085042476654,True
ETTh1,2022,32,64,0.23967458258232352,0.7603254174176765,0.20475342873966582,1,0.1997572071689679,0.20095824282175573,1,0.04959322822790444,1.3785486070663353,0.9663046002388,True
ETTh1,2023,32,64,0.25072012239060887,0.7492798776093912,0.20398672165211124,1,0.20035732524960964,0.20322153401476026,1,0.06340015298826111,1.3731431188072971,0.965088427066803,True
ETTh2,2021,32,64,0.2610824186034767,0.7389175813965233,0.2050621185348414,1,0.1991907995146998,0.20270465798933174,1,0.07635302325434591,1.3587864313152678,0.9681011438369751,True
ETTh2,2022,32,64,0.24374527038051902,0.756254729619481,0.20464163704108504,1,0.1983118794330914,0.20183337804876728,1,0.054681587975648815,1.3769189498918777,0.9780838489532471,True
ETTh2,2023,32,64,0.2803273445302501,0.7196726554697499,0.20656044981135802,1,0.1995313377986332,0.2015412361576257,1,0.10040918066281265,1.3440226951826157,0.9671130776405334,True
ETTm1,2021,32,64,0.35215768041377415,0.6478423195862258,0.20695960666019284,1,0.19883615836141177,0.20040686526943696,1,0.19019710051721767,1.2826893937271593,0.8622877597808838,True
ETTm1,2022,32,64,0.4024075088648617,0.5975924911351382,0.21087188616340682,1,0.19966733634303213,0.20082195556201182,1,0.2530093860810772,1.222640845114848,0.7534592151641846,True
ETTm1,2023,32,64,0.37908416335528616,0.6209158366447138,0.20708814420618538,1,0.1979575026746251,0.20339418487202315,1,0.2238552041941077,1.2485391775727992,0.8352391123771667,True
ETTm2,2021,32,64,0.24951774160246012,0.7504822583975399,0.20427282160531113,1,0.19980781657539928,0.20147323244763732,1,0.061897177003075135,1.3720684713291114,0.9438269138336182,True
ETTm2,2022,32,64,0.2864846243742034,0.7135153756257966,0.20585262725557152,1,0.2001069699757145,0.20218181196079366,1,0.10810578046775425,1.3375337378081569,0.9077545404434204,True
ETTm2,2023,32,64,0.2754631167918641,0.7245368832081359,0.20605150975078104,1,0.2006641683934412,0.2018924625425949,1,0.0943288959898301,1.348063839334889,0.8482412099838257,True
Weather,2021,32,64,0.46609257449155544,0.5339074255084446,0.21418096122498997,1,0.20123598845519713,0.20290338770111263,1,0.3326157181144443,1.1688150718734511,0.8462733626365662,True
Weather,2022,32,64,0.4512464229893475,0.5487535770106525,0.2129209127182778,1,0.20111500132676471,0.2030354919422018,1,0.3140580287366844,1.1705201582522466,0.830706000328064,True
Weather,2023,32,64,0.45725232761289747,0.5427476723871025,0.21815680353068856,1,0.20012960250971923,0.2025159532419887,1,0.3215654095161218,1.1690165051662618,0.8679469227790833,True
