dataset,variant,target_horizon,mse,mae,source_path,a6_lbf_r256_mse,a6_der_mse,best_stage_control_mse,best_stage_control_name,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_a6_der_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTm1,a6st_w02_d0999_wu1,96,0.2792646586894989,0.3345737755298614,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2730823159217834,0.2741679549217224,0.2705991566181183,a3c_warm,2.2639117977475642,1.8589713627297,3.2023389058857044,False
ETTm1,a6st_w02_d0999_wu1,192,0.3128849864006042,0.3550915420055389,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3093577325344085,0.310008555650711,0.3081844747066498,a3c_warm,1.1401861001820501,0.9278552793020589,1.5252266352575594,False
ETTm1,a6st_w02_d0999_wu1,336,0.3496496677398681,0.3756499886512756,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3471782207489013,0.3477792739868164,0.3466947674751282,a3c_warm,0.7118669441981806,0.5378105864705995,0.8523059884230744,False
ETTm1,a6st_w02_d0999_wu1,720,0.4081881642341614,0.4066595435142517,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.4079044461250305,0.4069072306156158,0.4067089557647705,official_unified,0.0695550420756863,0.31479745803673076,0.36370196633841445,False
Weather,a6st_w02_d0999_wu1,96,0.1423005014657974,0.1825198382139206,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.1413587778806686,0.1412898749113083,0.1412940472364425,a2_nested,0.6661939210621748,0.7152859007933277,0.7123118411851204,False
Weather,a6st_w02_d0999_wu1,192,0.1840595006942749,0.2244181931018829,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.1824371963739395,0.1823788732290268,0.1822764873504638,a3d_w03,0.8892398877968999,0.9215033712471898,0.9781916305984462,False
Weather,a6st_w02_d0999_wu1,336,0.234143316745758,0.2648952901363373,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2317628264427185,0.2315524071455001,0.2316667139530182,a2_nested,1.027123434580579,1.1189301083922132,1.0690369585170778,False
Weather,a6st_w02_d0999_wu1,720,0.3059591650962829,0.3156972527503967,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3033995926380157,0.3035028874874115,0.3033372759819031,a2_nested,0.8436308157212968,0.8093094695757364,0.8643478141262984,False
