dataset,variant,mean_mse,mean_relative_mse_vs_a6_lbf_r256_pct,mean_relative_mse_vs_a6_der_pct,mean_relative_mse_vs_best_stage_control_pct,wins_vs_best_stage_control,horizon_count,best_epoch,last_epoch,last_train_loss,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,last_vs_best_val_mse_pct,last_train_self_teacher_l1,last_train_self_teacher_gate,last_train_weighted_self_teacher_l1,source_path
ETTm1,a6st_w02_d0999_wu1,0.3374968692660332,1.0463799710508703,0.9098586716347723,1.4858933739761881,0,4,10,10,0.5046481677118876,0.6221131980419159,0.6057102084159851,0.6057102084159851,0.0,0.017112325790651,1.0,0.017112325790651,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/training_log.csv
Weather,a6st_w02_d0999_wu1,0.2166156210005283,0.8565470147902376,0.8912572125021168,0.9059720611067357,0,4,5,10,0.3832299936065174,0.4995764717459678,0.4902214109897613,0.4915986433625221,0.2809408854623774,0.0219530493444645,1.0,0.0219530493444645,analysis/phase5_timealign_hss_a6st_cross_dataset_sanity_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w02_d0999_wu1_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/training_log.csv
