job_index,dataset,arm,readout_mode,policy_mode,objective_mode,mode_rank,profile,patch_num,d_model,d_ff,seed,checkpoint_score,training_evaluation_split,formal_test_executed_by_runner
1,Weather,tsaf,siff-coupling-field,target-scale-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
2,Weather,siff_categorical_target_only,siff-coupling-field,static-target,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
3,Weather,tsaf_permuted_scale,siff-coupling-field,target-scale-field-permuted,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
4,Weather,tsaf_no_target_global,siff-coupling-field,target-scale-global,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
5,Weather,siff_independent_target_only,siff-independent-scope-control,static-target,equal_skill,115,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
6,ETTm1,tsaf,siff-coupling-field,target-scale-field,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_validation_mse_h96_h192_h336_h720,val,False
7,ETTm1,siff_categorical_target_only,siff-coupling-field,static-target,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_validation_mse_h96_h192_h336_h720,val,False
8,ETTm1,tsaf_permuted_scale,siff-coupling-field,target-scale-field-permuted,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_validation_mse_h96_h192_h336_h720,val,False
9,ETTm1,tsaf_no_target_global,siff-coupling-field,target-scale-global,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_validation_mse_h96_h192_h336_h720,val,False
10,ETTm1,siff_independent_target_only,siff-independent-scope-control,static-target,equal_skill,115,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_validation_mse_h96_h192_h336_h720,val,False
11,ETTh1,tsaf,siff-coupling-field,target-scale-field,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
12,ETTh1,siff_categorical_target_only,siff-coupling-field,static-target,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
13,ETTh1,tsaf_permuted_scale,siff-coupling-field,target-scale-field-permuted,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
14,ETTh1,tsaf_no_target_global,siff-coupling-field,target-scale-global,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
15,ETTh1,siff_independent_target_only,siff-independent-scope-control,static-target,equal_skill,109,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
16,ETTh2,tsaf,siff-coupling-field,target-scale-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
17,ETTh2,siff_categorical_target_only,siff-coupling-field,static-target,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
18,ETTh2,tsaf_permuted_scale,siff-coupling-field,target-scale-field-permuted,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
19,ETTh2,tsaf_no_target_global,siff-coupling-field,target-scale-global,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
20,ETTh2,siff_independent_target_only,siff-independent-scope-control,static-target,equal_skill,115,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
21,ETTm2,tsaf,siff-coupling-field,target-scale-field,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
22,ETTm2,siff_categorical_target_only,siff-coupling-field,static-target,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
23,ETTm2,tsaf_permuted_scale,siff-coupling-field,target-scale-field-permuted,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
24,ETTm2,tsaf_no_target_global,siff-coupling-field,target-scale-global,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
25,ETTm2,siff_independent_target_only,siff-independent-scope-control,static-target,equal_skill,106,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_validation_mse_h96_h192_h336_h720,val,False
