dataset,encoder_hashes,tsaf_parameter_hashes,candidate_active_parameters,independent_active_parameters,relative_gap,matched_rank,pass
Weather,1,1,1982097,1975025,0.0035679384005929075,115,True
ETTm1,1,1,1954289,1947217,0.0036187073662083753,115,True
ETTh1,1,1,3553041,3546425,0.0018620668886173844,109,True
ETTh2,1,1,1982097,1975025,0.0035679384005929075,115,True
ETTm2,1,1,6697809,6705245,0.0011102138027525121,106,True
