dataset,fold,feature_set,best_arm_accuracy,expected_arm_mse,allocation_gain_over_uniform_percent
ETTh1,0,coordinate_only,0.341796875,0.3525743547303569,4.9210839425894655
ETTh1,0,consensus_plus_coordinate,0.419921875,0.3493337633281528,5.794975970675765
ETTh1,0,contrast_plus_coordinate,0.38671875,0.34812126063853,6.121952223767679
ETTh1,0,full_summary,0.3994140625,0.34697909816873657,6.429959791908779
ETTh1,0,shuffled_contrast_plus_coordinate,0.306640625,0.352565894175942,4.923365504853495
ETTh1,0,existing_policy,0.330078125,0.3643257422959875,1.7520809311106778
ETTh1,1,coordinate_only,0.3623046875,0.3753138823861163,4.946889127831799
ETTh1,1,consensus_plus_coordinate,0.4130859375,0.37096940369286063,6.047184731837618
ETTh1,1,contrast_plus_coordinate,0.353515625,0.36911712428184124,6.516298528275155
ETTh1,1,full_summary,0.384765625,0.36697923663271403,7.057746317130631
ETTh1,1,shuffled_contrast_plus_coordinate,0.3388671875,0.3747524975390218,5.089067125015312
ETTh1,1,existing_policy,0.349609375,0.3869086909539783,2.0103534011604696
ETTh2,0,coordinate_only,0.408203125,0.11460544874280662,5.7691262912412
ETTh2,0,consensus_plus_coordinate,0.4404296875,0.11414896666975854,6.144454908227271
ETTh2,0,contrast_plus_coordinate,0.455078125,0.11361832157366947,6.580761834139293
ETTh2,0,full_summary,0.4912109375,0.11327157256440415,6.865865748998035
ETTh2,0,shuffled_contrast_plus_coordinate,0.3974609375,0.11449101578864995,5.863215336478966
ETTh2,0,existing_policy,0.4345703125,0.12009083286300282,1.2589346385368794
ETTh2,1,coordinate_only,0.455078125,0.11098381010322485,5.721477365618288
ETTh2,1,consensus_plus_coordinate,0.4638671875,0.1104993937086735,6.1329793853786345
ETTh2,1,contrast_plus_coordinate,0.498046875,0.1098446623013803,6.689160595453503
ETTh2,1,full_summary,0.4970703125,0.11005384905739785,6.511460638192446
ETTh2,1,shuffled_contrast_plus_coordinate,0.431640625,0.11086702789258836,5.820681513309244
ETTh2,1,existing_policy,0.44140625,0.11612458010295648,1.3544962687621953
ETTm1,0,coordinate_only,0.3212890625,0.34430104248865856,0.9256639338694583
ETTm1,0,consensus_plus_coordinate,0.4169921875,0.3335753763806035,4.012027660338724
ETTm1,0,contrast_plus_coordinate,0.4052734375,0.33669091436216403,3.11551612270059
ETTm1,0,full_summary,0.4267578125,0.3305211157858656,4.89090632538538
ETTm1,0,shuffled_contrast_plus_coordinate,0.3525390625,0.3440007190020366,1.0120835096774972
ETTm1,0,existing_policy,0.20703125,0.3475307707707184,-0.0037064302345957145
ETTm1,1,coordinate_only,0.314453125,0.3328082716546864,0.4555114279172545
ETTm1,1,consensus_plus_coordinate,0.4013671875,0.3331447217386525,0.3548776564910816
ETTm1,1,contrast_plus_coordinate,0.390625,0.3301856625375229,1.239945907248341
ETTm1,1,full_summary,0.3681640625,0.3308289340124415,1.0475404430890234
ETTm1,1,shuffled_contrast_plus_coordinate,0.328125,0.3318727969469339,0.7353162263147084
ETTm1,1,existing_policy,0.15234375,0.3340206161564784,0.09289359752487902
ETTm2,0,coordinate_only,0.3046875,0.10961368064848666,6.413162662741789
ETTm2,0,consensus_plus_coordinate,0.314453125,0.10874193186843878,7.15745124784023
ETTm2,0,contrast_plus_coordinate,0.353515625,0.10649752974927612,9.073694683904176
ETTm2,0,full_summary,0.3525390625,0.10635597571937996,9.194551805861506
ETTm2,0,shuffled_contrast_plus_coordinate,0.2705078125,0.10922691296908127,6.743380238556041
ETTm2,0,existing_policy,0.158203125,0.12232430983201414,-4.43901909792439
ETTm2,1,coordinate_only,0.2236328125,0.0865449451599835,6.664317167535061
ETTm2,1,consensus_plus_coordinate,0.28515625,0.08656392021292705,6.643853239572595
ETTm2,1,contrast_plus_coordinate,0.36328125,0.08348020518900387,9.969531554886657
ETTm2,1,full_summary,0.3740234375,0.08327120229010851,10.194933838593723
ETTm2,1,shuffled_contrast_plus_coordinate,0.236328125,0.08635221145211558,6.872173700293049
ETTm2,1,existing_policy,0.1552734375,0.099061309107494,-6.834141621259704
Weather,0,coordinate_only,0.373046875,0.3575370936647451,0.2930164166869864
Weather,0,consensus_plus_coordinate,0.412109375,0.35495327404791377,1.0135706324104543
Weather,0,contrast_plus_coordinate,0.6181640625,0.3485119536488907,2.809872718712214
Weather,0,full_summary,0.6513671875,0.34635454280865424,3.411513586307402
Weather,0,shuffled_contrast_plus_coordinate,0.357421875,0.357529617862462,0.29510120651361493
Weather,0,existing_policy,0.314453125,0.3533848923870001,1.4509479207757248
Weather,1,coordinate_only,0.3671875,0.34410831489056026,0.2822169291619825
Weather,1,consensus_plus_coordinate,0.439453125,0.34141294105246256,1.063298617838171
Weather,1,contrast_plus_coordinate,0.58984375,0.33846744876948376,1.9168611381286893
Weather,1,full_summary,0.611328125,0.33697025022608407,2.350728362790744
Weather,1,shuffled_contrast_plus_coordinate,0.37890625,0.3441649416626996,0.2658072815718282
Weather,1,existing_policy,0.33984375,0.3386810986536599,1.854948386005384
