comparison,dataset,fold,expected_mse_gain_percent,accuracy_gain_points
contrast_vs_coordinate,ETTh1,0,1.2630226878618478,0.044921875
contrast_vs_shuffled,ETTh1,0,1.260653288033009,0.080078125
contrast_vs_existing_policy,ETTh1,0,4.447800354522458,0.056640625
full_vs_contrast,ETTh1,0,0.3280932821219995,0.0126953125
contrast_vs_coordinate,ETTh1,1,1.6510868356049646,-0.0087890625
contrast_vs_shuffled,ETTh1,1,1.5037586925204627,0.0146484375
contrast_vs_existing_policy,ETTh1,1,4.598388996708602,0.00390625
full_vs_contrast,ETTh1,1,0.5791895061186048,0.03125
contrast_vs_coordinate,ETTh2,0,0.8613265599198727,0.046875
contrast_vs_shuffled,ETTh2,0,0.7622381625048025,0.0576171875
contrast_vs_existing_policy,ETTh2,0,5.389679740765107,0.0205078125
full_vs_contrast,ETTh2,0,0.3051875828323003,0.0361328125
contrast_vs_coordinate,ETTh2,1,1.0264089877478844,0.04296875
contrast_vs_shuffled,ETTh2,1,0.9221547746355641,0.06640625
contrast_vs_existing_policy,ETTh2,1,5.407914324433616,0.056640625
full_vs_contrast,ETTh2,1,-0.19043870829480447,-0.0009765625
contrast_vs_coordinate,ETTm1,0,2.210312252175428,0.083984375
contrast_vs_shuffled,ETTm1,0,2.1249387678835885,0.052734375
contrast_vs_existing_policy,ETTm1,0,3.119106945412309,0.1982421875
full_vs_contrast,ETTm1,0,1.832481457952806,0.021484375
contrast_vs_coordinate,ETTm1,1,0.7880240187914112,0.076171875
contrast_vs_shuffled,ETTm1,1,0.5083677917960716,0.0625
contrast_vs_existing_policy,ETTm1,1,1.1481188386165075,0.23828125
full_vs_contrast,ETTm1,1,-0.1948211409226408,-0.0224609375
contrast_vs_coordinate,ETTm2,0,2.842848521074237,0.048828125
contrast_vs_shuffled,ETTm2,0,2.4988193345515053,0.0830078125
contrast_vs_existing_policy,ETTm2,0,12.938376766214876,0.1953125
full_vs_contrast,ETTm2,0,0.13291766506642322,-0.0009765625
contrast_vs_coordinate,ETTm2,1,3.5412119856500834,0.1396484375
contrast_vs_shuffled,ETTm2,1,3.3259209171548676,0.126953125
contrast_vs_existing_policy,ETTm2,1,15.728748245778446,0.2080078125
full_vs_contrast,ETTm2,1,0.25036222470005143,0.0107421875
contrast_vs_coordinate,Weather,0,2.524252777060687,0.2451171875
contrast_vs_shuffled,Weather,0,2.5222145979078903,0.2607421875
contrast_vs_existing_policy,Weather,0,1.3789323887601124,0.3037109375
full_vs_contrast,Weather,0,0.6190349621149394,0.033203125
contrast_vs_coordinate,Weather,1,1.6392705078546288,0.22265625
contrast_vs_shuffled,Weather,1,1.6554541742952122,0.2109375
contrast_vs_existing_policy,Weather,1,0.06308290749778012,0.25
full_vs_contrast,Weather,1,0.4423463907217151,0.021484375
