origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
0,0,False,-0.3502391060489853,0.060461632083244,0.964831096714484,-3.1640085644476397,0.165479149280644,0.5999271948295417,0.254940628027623,0.1150367971619794,0.254940628027623,-1.2161659079281368,0.1150367971619794,0.2285423457905525,0.1825853041534716,0.2010876429841067,0.0948008317943373,0.1685346585344184,0.2732356708328906,-0.6212432102034962,0.1085463601548833,0.2175000019176904,0.905671870752641,-3.1640085644476397,0.1004825545516864,1.1678621051683078,0.8446499720582779,0.050513068718416536,0.010416666666666666,0.38928736838943595,False
1,0,False,-0.2932604098009592,0.0613200780750799,0.969458583988894,-2.973374122390648,0.1402253492178823,0.6003978114769594,0.2340270671823641,0.1163661745741613,0.2340270671823641,-1.0111262404111798,0.1163661745741613,0.2345194427395396,0.1696734761454329,0.2765057166971247,0.0969915611119811,0.1679235012873337,0.248168519936219,-0.4778665167990874,0.1121940374081215,0.2167490742816518,0.8612251628028438,-2.973374122390648,0.1013478664232315,1.1851581058149523,0.8511284099096486,0.05126116566012851,0.0,0.39505270193831743,False
2,0,False,-0.2468895229751613,0.0598770048735397,0.960666358167515,-2.808629408706478,0.1536612055302448,0.6000592193221356,0.2200908341570117,0.1165976286975879,0.2200908341570117,-0.8876098649299955,0.1165976286975879,0.2328279415455005,0.1624175708190135,0.3024137492223073,0.0987037597581782,0.1675413884578182,0.2319664296932156,-0.3845320957908718,0.1121110924345961,0.2154945678668863,0.8207389485943174,-2.808629408706478,0.1067013012435979,1.1511639125331663,0.870138273581432,0.049790828525572275,0.010416666666666666,0.3837213041777221,False
3,0,False,-0.2812230319734299,0.0587108797127647,0.952799629801018,-2.924373120245112,0.1968908919959454,0.5989139229005208,0.2661485134503571,0.1287225564499312,0.2661485134503571,-1.0676136396800038,0.1287225564499312,0.2144235746119037,0.1834547344757056,0.1444283362603676,0.1023676252459314,0.1678085420638141,0.2616074603125258,-0.5589639066945828,0.1266738925928709,0.2228174960281901,0.8744189921333512,-2.924373120245112,0.1124096097708277,1.1388791509808378,0.8926003925197961,0.04925948068772741,0.0,0.3796263836602793,False
4,0,False,-0.3498378912203063,0.0620334937776778,0.97223507635354,-3.197950035693002,0.2342958131082414,0.5975811003980526,0.2970592714874049,0.1325982808567079,0.2970592714874049,-1.2402950443107286,0.1325982808567079,0.201388120680365,0.2010745959103905,0.001556818589474,0.104417053725153,0.16384507324303,0.2947705844334362,-0.7990811600188026,0.1320239654345396,0.2194119116663027,0.9210802424110254,-3.197950035693002,0.1175976036978929,1.2100261558397492,0.8953593941354825,0.0523367734003202,0.020833333333333332,0.40334205194658307,False
5,0,False,-0.1886675802251837,0.0607668512042552,0.966219342896807,-2.660841038803357,0.264750599674198,0.5969727441914576,0.2185880702087276,0.1224019034382388,0.2185880702087276,-0.785822475538724,0.1224019034382388,0.2077787411731626,0.1636321379637325,0.2124692976777559,0.096555470600133,0.1570029932500433,0.2255826946318114,-0.4368050567835213,0.120000838957172,0.214485541206252,0.7851974714777958,-2.660841038803357,0.1076742647090543,1.169564545337694,0.8465518459146892,0.05058670367658892,0.0,0.38985484844589796,False
6,0,False,-0.1016944529369875,0.0621263215517891,0.972697825080981,-2.369241420690267,0.2272906072960213,0.5962792481649919,0.1886734159939261,0.1238492723743705,0.1886734159939261,-0.5234115822950158,0.1238492723743705,0.2143433241917431,0.1511829804173936,0.2946690502842475,0.0970241165738119,0.1743576054185555,0.2002139621237655,-0.1482949748199418,0.1280933071535543,0.2190716688667982,0.7381053408457591,-2.369241420690267,0.1116949388811601,1.193550998396237,0.8453258651741749,0.05162418005868511,0.010416666666666666,0.39785033279874565,False
7,0,False,-0.14568646276343,0.0612303510544791,0.968533086534012,-2.509006477620268,0.2274893725564433,0.5954823364441418,0.2249307646085715,0.1191020154533312,0.2249307646085715,-0.8885554854166853,0.1191020154533312,0.206545649226752,0.1699840632439885,0.1770145540205743,0.0933758113343582,0.167793932713683,0.2121457055262949,-0.2643228637372243,0.1224916396745257,0.2163058201304892,0.7590185239848513,-2.509006477620268,0.1084532508616116,1.1803305812087466,0.8702051466736407,0.05105236268493653,0.0,0.3934435270695822,False
8,0,False,-0.1613947373906446,0.0589378178230531,0.955576122165664,-2.5254386248359637,0.184487889773124,0.5951410489133334,0.2083800951990685,0.1209786545549643,0.2083800951990685,-0.722453402756227,0.1209786545549643,0.2186645471767836,0.1627307529323476,0.2557972701409857,0.0960513623439257,0.1711693269807467,0.2086444481746408,-0.2189359615704358,0.1232286546414897,0.213857654335945,0.7539420348127588,-2.5254386248359637,0.1079199154341699,1.1249498906934257,0.8417186106915437,0.04865700400920434,0.0,0.37498329689780857,False
9,0,False,-0.1645090292135457,0.0601907380605264,0.96298010180472,-2.567168981300672,0.2415161427429582,0.5940314465592981,0.2468654308512754,0.1157619929447698,0.2468654308512754,-1.1325257502179935,0.1157619929447698,0.2109521826405564,0.1820606682539359,0.1369576461593148,0.094287489201096,0.1711820129091464,0.23238843338085,-0.357551704361535,0.1219574492822729,0.2193289582825249,0.782383456686412,-2.567168981300672,0.1050226267934602,1.1604373575941076,0.8417864958328778,0.05019192910546675,0.010416666666666666,0.3868124525313692,False
