origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
1048,6,True,0.6556000481017026,0.1106560284693148,0.999537251272559,0.0200850369300006,0.498059113864229,0.4638192578201862,0.1024934862995076,0.1880543058974106,0.1024934862995076,0.4549793166904617,0.1880543058974106,0.1642209076639121,0.1609225246688042,0.0200850369300006,0.2480429515867946,0.1793446763705766,0.139394530498427,0.222756240556599,0.1472434088899867,0.2749551652895588,0.2089999383298507,0.2398762972510436,0.1798206044547198,2.5694934040926176,2.093858641563088,0.11567019479348103,0.6354166666666666,0.8564978013642058,True
1049,6,True,0.6808101652379601,0.1057023568751497,0.999074502545118,0.1075704682477839,0.4900177349106594,0.4635146737154129,0.1216861690088992,0.2095319145221766,0.1216861690088992,0.4192475676729423,0.2095319145221766,0.1731140902528429,0.1544921265040555,0.1075704682477839,0.2690350596280846,0.1887391719399073,0.1318965914809984,0.301170021435757,0.1598421789856011,0.2797556993484396,0.1948246663534298,0.3035900008214918,0.1937879245018128,2.4434618751719466,1.9175293676939305,0.10626992719228939,0.5208333333333334,0.8144872917239822,True
1050,6,True,0.7033796104504011,0.1032949386733687,0.997686256362795,0.1870444253320443,0.484231546693903,0.4629217285797286,0.1424795115137105,0.2404500608680089,0.1424795115137105,0.4074465566805478,0.2404500608680089,0.1870884220977543,0.1520945757002009,0.1870444253320443,0.2987385318784385,0.2016255097376247,0.1289123649656774,0.360634648197884,0.1775071612673978,0.2910747369912036,0.1842254337257678,0.3670854584287223,0.2142774276483136,2.376441297355851,1.9062047725341245,0.10080893056478352,0.4166666666666667,0.7921470991186169,True
1182,6,True,0.683700321181719,0.0680248329548963,0.96760758907913,0.1331433501473434,0.5995352159795098,0.4587773472005867,0.0619500100211395,0.0714651148280046,0.0619500100211395,0.1331433501473434,0.0714651148280046,0.1579287536106353,0.0819592334119111,0.4810366602779807,0.0887766990271777,0.2615726035176332,0.1173781521160088,0.5512597629204846,0.0769867277972172,0.2636007081226825,0.1478690807629356,0.4390414129915166,0.0700737127179634,1.5516996650144137,1.2570224672049903,0.0917107263486915,0.3125,0.5172332216714712,True
1183,6,True,0.6903105482012184,0.0680750118021572,0.968533086534012,0.1520663853362169,0.6042408933334729,0.459327424337775,0.0621883552788989,0.0733410660969696,0.0621883552788989,0.1520663853362169,0.0733410660969696,0.1551647571008162,0.0820513032432837,0.4711988419511268,0.0902945407211752,0.2580213267052557,0.1156237564130708,0.5518829474698781,0.077525109766657,0.2599534386645791,0.1496334964258787,0.4243834696145239,0.0693318552297433,1.5449933879715008,1.2804937013975177,0.0913143625725252,0.3125,0.5149977959905002,True
1051,6,True,0.7031201767656535,0.0958036531635101,0.997223507635354,0.1896635850836262,0.4760934742288866,0.4623150380902028,0.1621664039789597,0.2488894099180533,0.1621664039789597,0.3484399194310722,0.2488894099180533,0.1853678727592321,0.1502103374523907,0.1896635850836262,0.2998313278762694,0.2086351688468818,0.127682122089451,0.3880124679115946,0.1886764737095259,0.2936551234925067,0.1805988711601079,0.3849966960827898,0.2254453684069421,2.187018417072159,1.74470387889167,0.09125861206263322,0.3229166666666667,0.7290061390240531,True
1181,6,True,0.6745244345922978,0.0673591304230429,0.963905599259602,0.1117118713617963,0.5905807355395778,0.4582966518842212,0.0618375355419077,0.0696142766612317,0.0618375355419077,0.1117118713617963,0.0696142766612317,0.1610259580889967,0.0807975346079711,0.4982328590567024,0.0872029787117047,0.2666292868854398,0.1169520690606373,0.5613682561777729,0.0770394875086984,0.2695759277953597,0.1494767075551757,0.4455116642735015,0.0713421649242481,1.5301811698316523,1.2568204950648578,0.09043891011541061,0.3333333333333333,0.5100603899438841,True
1184,6,True,0.6827357631657187,0.0674974000717084,0.9643683479870432,0.1362917291101493,0.5966407043915235,0.4598868192263394,0.0643741031370363,0.0745322295810757,0.0643741031370363,0.1362917291101493,0.0745322295810757,0.1546629547218641,0.0834605851913889,0.4603711965707688,0.0907576285798599,0.2564695537860931,0.1156465018618553,0.5490829217166664,0.0776615196613384,0.2584692211294678,0.1551203515437134,0.3998498124230688,0.0695426160565371,1.5239696094482234,1.2787784918382386,0.0900717857759736,0.2604166666666667,0.5079898698160744,True
1865,0,True,0.6696403938301665,0.0602901491783707,0.963905599259602,0.1640111024633077,0.3848426346137307,0.3778246306495661,0.0776901468159182,0.0929320318066884,0.0776901468159182,0.1640111024633077,0.0929320318066884,0.1422629895307009,0.1038274984196302,0.2701721033549358,0.094123992043489,0.2040940160608064,0.1306506352365225,0.3598507307651916,0.1074696509105432,0.4571509982518633,0.242404388276901,0.4697498436974854,0.1145570733675376,1.2521046315945186,0.8999707570503688,0.0900470728736105,0.3020833333333333,0.4173682105315062,True
1685,6,True,0.5318971798240912,0.0547065629555921,0.7760296159185562,0.004027111273002,0.4267423848291248,0.4121623291435274,0.0858145912322679,0.0861615734761131,0.0858145912322679,0.004027111273002,0.0861615734761131,0.1451536322960408,0.0861229756927608,0.4066770887475069,0.0977485156999134,0.1726470062152295,0.0797919114330451,0.5378320587061152,0.1179513224765326,0.1784906878174141,0.1505602994532956,0.1564809274122449,0.1439520930773269,1.3082708246810737,1.029403749355268,0.08815524056541578,0.3125,0.43609027489369123,True
