dataset,seed_count,pair_count,median_cross_seed_topology_spearman,stable
ETTh1,3,3,0.6121212121212121,1
ETTh2,3,3,0.6363636363636364,1
ETTm1,3,3,0.8424242424242424,1
ETTm2,3,3,0.7575757575757576,1
Weather,3,3,0.7333333333333333,1
