dataset,seed,hidden_rows,directions,synchronized_common_energy,private_response_energy,direction_null_common_p95,above_direction_null,random_init_common_median,random_init_common_p95,above_random_init,mean_pairwise_response_cosine,median_pairwise_response_distance,hidden_rms,all_finite
ETTh1,2021,32,64,0.24484206418468157,0.7551579358153184,0.20453541328360159,1,0.20041449220203336,0.20186428998358977,1,0.05605258023085198,1.3757285802919685,0.9640904068946838,True
ETTh1,2022,32,64,0.2431786678106638,0.7568213321893362,0.20452945301410327,1,0.19983832236383653,0.20232832973868412,1,0.05397333476332977,1.3763164880059267,0.9663220047950745,True
ETTh1,2023,32,64,0.24362691031878494,0.7563730896812151,0.20476036008455253,1,0.20021649035146274,0.20409455608307953,1,0.05453363789848119,1.3750176597101422,0.9651091694831848,True
ETTh2,2021,32,64,0.2856646284473558,0.7143353715526441,0.20709438412786266,1,0.19913206409357975,0.20040065460901377,1,0.10708078555919469,1.3364226779863326,0.9681063294410706,True
ETTh2,2022,32,64,0.23546233396842314,0.7645376660315768,0.20427978576401173,1,0.20226389503749598,0.20398962077560492,1,0.04432791746052889,1.385597694666694,0.9780466556549072,True
ETTh2,2023,32,64,0.2891745421534848,0.7108254578465152,0.20585138355480886,1,0.20073920931734546,0.20196090898138086,1,0.11146817769185602,1.3340536819724476,0.9671770334243774,True
ETTm1,2021,32,64,0.3651603506845021,0.634839649315498,0.20657216140875673,1,0.20103483701012334,0.20236759152210418,1,0.2064504383556276,1.2674442355871505,0.8622796535491943,True
ETTm1,2022,32,64,0.4194527427198147,0.5805472572801853,0.20989891454921714,1,0.19980841653663606,0.2017303759548323,1,0.2743159283997683,1.2082549572029229,0.7538427710533142,True
ETTm1,2023,32,64,0.3707838829004694,0.6292161170995306,0.20753568029377042,1,0.19874726327423198,0.19989906508051353,1,0.21347985362558672,1.2544176754004872,0.835291862487793,True
ETTm2,2021,32,64,0.24704962840667713,0.7529503715933229,0.20535808008681233,1,0.20125554700006348,0.20257934201600222,1,0.05881203550834645,1.3698075284244156,0.9438756704330444,True
ETTm2,2022,32,64,0.29632271804086757,0.7036772819591324,0.20819892881043137,1,0.19946337647669818,0.202377346829872,1,0.1204033975510844,1.3275245003557337,0.9080909490585327,True
ETTm2,2023,32,64,0.3147762552345205,0.6852237447654794,0.20643276116415674,1,0.20056394217814605,0.20230986206496282,1,0.14347031904315066,1.312744646664874,0.8489609956741333,True
Weather,2021,32,64,0.4683581465347981,0.5316418534652019,0.2144069882959697,1,0.1993642590722082,0.19984187486579905,1,0.3354476831684977,1.158914295886263,0.846613883972168,True
Weather,2022,32,64,0.46555660532412896,0.5344433946758711,0.2142622332714876,1,0.20079605704364248,0.20540537426798924,1,0.3319457566551612,1.1646565880750526,0.8310798406600952,True
Weather,2023,32,64,0.4614457958310374,0.5385542041689626,0.2160531510439319,1,0.20007882503808272,0.20074768245481353,1,0.3268072447887967,1.1601645820585789,0.8680955171585083,True
