epoch,train_loss,mse,mae
1,0.42397908586651883,0.9474233984947205,0.6447795033454895
2,0.3946314456362377,0.9886653423309326,0.6659641861915588
3,0.38169437327147443,0.995681881904602,0.6634682416915894
4,0.3684859469932615,1.0349403619766235,0.6773185133934021
5,0.35501578747084317,1.0744550228118896,0.6828863024711609
6,0.34112365663736716,1.0768992900848389,0.6866225004196167
7,0.3279567231848779,1.0730249881744385,0.6858536601066589
8,0.3158042267592931,1.0644527673721313,0.6815965175628662
9,0.3041011630575319,1.0936959981918335,0.6942079067230225
10,0.29323014434270017,1.073659062385559,0.682460606098175
11,0.28409819082282056,1.1121972799301147,0.6951263546943665
