scope,mean_abs_gamma,mean_abs_beta,mean_segment_state_norm,std_segment_state_norm
all,0.5839542746543884,0.0953131690621376,5.628090858459473,0.8557039499282837
segment_0,0.5353723764419556,0.08577113598585129,6.217941761016846,0.6277822852134705
segment_1,0.5784202218055725,0.09403103590011597,6.037230491638184,0.6597418189048767
segment_2,0.5992130637168884,0.09634420275688171,5.805506229400635,0.8005366325378418
segment_3,0.5889719128608704,0.09545932710170746,5.729222297668457,0.7731194496154785
segment_4,0.5869991183280945,0.0964287593960762,5.459105014801025,0.8199162483215332
segment_5,0.5903593897819519,0.09617912769317627,5.601286888122559,0.7790369987487793
segment_6,0.5952593684196472,0.09704113751649857,5.632054328918457,0.8161801695823669
segment_7,0.5819786787033081,0.09510449320077896,5.368664741516113,0.9042027592658997
segment_8,0.6019800901412964,0.09755075722932816,5.706222057342529,0.843245267868042
segment_9,0.5950281023979187,0.0974089577794075,5.631350994110107,0.8510138392448425
segment_10,0.5971925854682922,0.09674718976020813,5.708834171295166,0.8468755483627319
segment_11,0.5758070945739746,0.09492118656635284,5.358996391296387,0.8979573249816895
segment_12,0.5915495157241821,0.09670594334602356,5.596100330352783,0.8498706817626953
segment_13,0.567323625087738,0.09482444077730179,5.3054890632629395,0.8624379634857178
segment_14,0.5738590955734253,0.09517981112003326,5.263362884521484,0.8665603399276733
