dataset,bucket,segments,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct,mean_relative_to_tail_weight
ETTh2,early_0_96,4,4,-7.174337752624371,-3.8791533030354515,14.39285714285714
ETTh2,mid_96_192,3,3,-11.553475176599754,-5.6299658936806,6.8928571428571415
ETTh2,late_192_336,4,4,-12.976093215483374,-6.392090979996323,2.875
ETTh2,tail_336_720,4,2,-0.6910821130907824,-0.2815990414848313,1.0
ETTh2,ALL,15,13,-7.868431856972892,-3.9400847319405483,6.249999999999999
ETTm1,early_0_96,4,4,-2.867076067876126,-0.877971149720469,14.39285714285714
ETTm1,mid_96_192,3,3,-2.0891865646308476,-0.4677376496999989,6.8928571428571415
ETTm1,late_192_336,4,2,0.2234117388286383,0.060532445055402895,2.875
ETTm1,tail_336_720,4,0,1.472549128535966,0.3710468854965676,1.0
ETTm1,ALL,15,9,-0.7301346997292419,-0.2125853483849327,6.249999999999999
Weather,early_0_96,4,3,-0.655728940085043,0.4424985047810859,14.39285714285714
Weather,mid_96_192,3,2,-0.8010207178096492,0.2353949659139376,6.8928571428571415
Weather,late_192_336,4,3,-0.20449768992172046,0.11110385645818899,2.875
Weather,tail_336_720,4,4,-1.2575868445184768,-0.5761583005544385,1.0
Weather,ALL,15,12,-0.7249544034353272,0.041064076032077214,6.249999999999999
ALL,early_0_96,12,11,-3.565714253528513,-1.4382086493249449,14.39285714285714
ALL,mid_96_192,9,8,-4.814560819680084,-1.9541028591555536,6.8928571428571415
ALL,late_192_336,12,9,-4.3190597221921525,-2.073484892827577,2.875
ALL,tail_336_720,12,6,-0.15870660969109773,-0.16223681884756738,1.0
ALL,ALL,45,34,-3.1078403200458204,-1.370535334764468,6.249999999999999
