dataset,target_horizon,segment_start,segment_end,avg_prefix_weight,relative_to_tail_weight,clean_mse,fixed_mse,relative_mse_pct,clean_mae,fixed_mae,relative_mae_pct,clean_wins_mse
ETTh2,96,0,96,0.004997519841269841,14.39285714285714,0.24416223168373108,0.2697129249572754,-9.47329212257505,0.31473836302757263,0.33105576038360596,-4.9288969740704065,True
ETTh2,192,0,96,0.004997519841269841,14.39285714285714,0.24416223168373108,0.27409642934799194,-10.921046193657812,0.31473836302757263,0.3331887722015381,-5.537524284523377,True
ETTh2,192,96,192,0.0023933531746031743,6.8928571428571415,0.3282245993614197,0.39510104060173035,-16.926414857946035,0.37997686862945557,0.41605979204177856,-8.672533155691175,True
ETTh2,336,0,96,0.004997519841269841,14.39285714285714,0.2441622018814087,0.26062649488449097,-6.317198491419385,0.31473836302757263,0.32613837718963623,-3.495453144857885,True
ETTh2,336,96,192,0.0023933531746031743,6.8928571428571415,0.3282245397567749,0.3793553113937378,-13.47833287192165,0.37997686862945557,0.405916303396225,-6.3903407056427834,True
ETTh2,336,192,288,0.0010912698412698413,3.142857142857143,0.35499998927116394,0.44075268507003784,-19.455966736821438,0.40495872497558594,0.4489951729774475,-9.807777600333678,True
ETTh2,336,288,336,0.0010912698412698413,3.142857142857143,0.34578561782836914,0.4627741575241089,-25.279834189886685,0.4053637683391571,0.4658210873603821,-12.978656540392342,True
ETTh2,720,0,96,0.004997519841269841,14.39285714285714,0.2441622018814087,0.24910904467105865,-1.9858142028452375,0.31473836302757263,0.31970900297164917,-1.554738808690137,True
ETTh2,720,96,192,0.0023933531746031743,6.8928571428571415,0.3282245397567749,0.3428135812282562,-4.255677799931579,0.37997686862945557,0.3870483338832855,-1.8270238197078403,True
ETTh2,720,192,288,0.0010912698412698413,3.142857142857143,0.35499998927116394,0.3724064528942108,-4.674049949395354,0.40495872497558594,0.4133215546607971,-2.023322904626723,True
ETTh2,720,288,384,0.0007192460317460318,2.0714285714285716,0.3487933874130249,0.35771670937538147,-2.4945219858300227,0.40824276208877563,0.4113633930683136,-0.7586068746325503,True
ETTh2,720,384,480,0.00034722222222222224,1.0,0.3793041706085205,0.38898780941963196,-2.489445318494532,0.42830079793930054,0.43248119950294495,-0.9666088533903827,True
ETTh2,720,480,576,0.00034722222222222224,1.0,0.4577350616455078,0.4736887812614441,-3.3679749757744237,0.4780942499637604,0.4866395592689514,-1.7559832821705146,True
ETTh2,720,576,672,0.00034722222222222224,1.0,0.5540679097175598,0.5521291494369507,0.35114253297190423,0.5361185669898987,0.5353994965553284,0.13430539983632084,False
ETTh2,720,672,720,0.00034722222222222224,1.0,0.5908464193344116,0.5750780701637268,2.741949308933922,0.5632342100143433,0.555118978023529,1.4618905697852513,False
ETTm1,96,0,96,0.004997519841269841,14.39285714285714,0.27276551723480225,0.27859950065612793,-2.0940394392617745,0.33084431290626526,0.32999563217163086,0.25717938417832986,True
ETTm1,192,0,96,0.004997519841269841,14.39285714285714,0.27276551723480225,0.2826331853866577,-3.491333877993119,0.33084431290626526,0.3332241177558899,-0.7141754521405974,True
