dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,val_mean_mse,lr,epoch_seconds,warm_start_checkpoint,warm_start_compatible_keys,warm_start_incompatible_keys
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,1,0.5103966351103993,0.39977144403795223,0.4872136630315696,0.02040015600324996,0.9022503278951729,multi-prefix,1,0.46189986914396286,0.0005,12.287771463394165,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,2,0.4922046245990601,0.38666137274915136,0.47323506160647466,0.015713759574346838,0.8982949032720211,multi-prefix,1,0.4667480066418648,0.0004877641290737884,11.703121185302734,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,3,0.48418499529361725,0.38139515073426,0.46704409541809455,0.013234691657290786,0.8955515019134083,multi-prefix,1,0.47521887719631195,0.0004522542485937369,11.697609424591064,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,4,0.47836899282657996,0.37767494766585596,0.46228267964536107,0.01132172501060815,0.8937231908857295,multi-prefix,1,0.47692249715328217,0.0003969463130731183,11.904555797576904,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,5,0.4711514148300728,0.37259843259786085,0.45604825824235395,0.00932140369380338,0.8923157482548097,multi-prefix,1,0.48917174339294434,0.00032725424859373687,12.564034700393677,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,6,0.4669780033615838,0.37020402263223595,0.4532130377746261,0.0076469929077027906,0.8912698381242499,multi-prefix,1,0.4801757335662842,0.00025,11.635810852050781,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,7,0.46327192065990075,0.3677469018550046,0.45037153112677347,0.006484628284135751,0.8904038504161665,multi-prefix,1,0.48998120427131653,0.00017274575140626317,11.665128231048584,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,8,0.460424772142309,0.3658057026631009,0.44774237749850854,0.005639022422245646,0.8898004562453886,multi-prefix,1,0.4983646348118782,0.00010305368692688174,11.695703506469727,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,9,0.4579537488454211,0.3639108325000358,0.4463421060184462,0.0050908048602183705,0.8895210813632054,multi-prefix,1,0.49668218195438385,4.7745751406263163e-05,12.06627869606018,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,10,0.45658728150667344,0.3628493940408251,0.4451089513249102,0.004798483431124977,0.8893940124364026,multi-prefix,1,0.49318596720695496,1.2235870926211617e-05,12.581672430038452,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,38,4
