dataset,arm,target_horizon,mse,mae,source_path
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,96,0.24764448404312134,0.316547155380249,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,192,0.2863069772720337,0.3455122709274292,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,336,0.30869343876838684,0.36700239777565,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,checkpoint_initialized_nested_segment_decoder_multiprefix,720,0.3885134160518646,0.4262784421443939,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,checkpoint_initialized_nested_segment_decoder_multiprefix,96,0.16035300493240356,0.24575746059417725,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,checkpoint_initialized_nested_segment_decoder_multiprefix,192,0.21491803228855133,0.2830461263656616,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,checkpoint_initialized_nested_segment_decoder_multiprefix,336,0.2663629949092865,0.3175167441368103,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,checkpoint_initialized_nested_segment_decoder_multiprefix,720,0.3430364429950714,0.3705032467842102,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,checkpoint_initialized_nested_segment_decoder_multiprefix,96,0.14135439693927765,0.18144558370113373,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,checkpoint_initialized_nested_segment_decoder_multiprefix,192,0.1827974021434784,0.22354097664356232,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,checkpoint_initialized_nested_segment_decoder_multiprefix,336,0.23251068592071533,0.26454269886016846,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,checkpoint_initialized_nested_segment_decoder_multiprefix,720,0.30505889654159546,0.31586751341819763,analysis/phase5_timealign_hss_a3c_warm_started_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3C_checkpoint_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
